,T=0.01,T=0.02,T=0.022,T=0.025,T=0.029,T=0.03,T=0.032,T=0.035,T=0.036,T=0.04,T=0.042,T=0.044,T=0.045,T=0.046,T=0.048,T=0.05,T=0.055,T=0.06,T=0.065,T=0.067,T=0.07,T=0.075,T=0.08,T=0.085,T=0.09,T=0.095,T=0.1,T=0.11,T=0.12,T=0.13,T=0.133,T=0.14,T=0.15,T=0.16,T=0.17,T=0.18,T=0.19,T=0.2,T=0.22,T=0.24,T=0.25,T=0.26,T=0.28,T=0.29,T=0.3,T=0.32,T=0.34,T=0.35,T=0.36,T=0.38,T=0.4,T=0.42,T=0.44,T=0.45,T=0.46,T=0.48,T=0.5,T=0.55,T=0.6,T=0.65,T=0.667,T=0.7,T=0.75,T=0.8,T=0.85,T=0.9,T=0.95,T=1.0,T=1.1,T=1.2,T=1.3,T=1.4,T=1.5,T=1.6,T=1.7,T=1.8,T=1.9,T=2.0,T=2.2,T=2.4,T=2.5,T=2.6,T=2.8,T=3.0,T=3.2,T=3.4,T=3.5,T=3.6,T=3.8,T=4.0,T=4.2,T=4.4,T=4.6,T=4.8,T=5.0,T=5.5,T=6.0,T=6.5,T=7.0,T=7.5,T=8.0,T=8.5,T=9.0,T=9.5,T=10.0
T=0.01,-1.6593810560576475e-05,-0.0002731375904648584,-0.0005081245735886965,-0.001532140905504715,-0.002640260883496171,-0.003155927523533073,-0.004125370810876824,-0.005099426226203046,-0.005299868472296088,-0.006127119339311063,-0.007084840437947227,-0.0070751355306229,-0.006867219135832679,-0.006681998664236881,-0.006794130217850241,-0.00667585885123156,-0.007026527527798077,-0.006670618723794153,-0.005336304639627553,-0.00554561041697551,-0.005080625805774959,-0.004472996138384508,-0.0038203784374649654,-0.0032257979408338287,-0.002727415749691099,-0.003018091316570714,-0.0016620701181340898,-0.0017311364193277775,-0.001479341713643257,-0.0011641001359005265,-0.0013669193095251248,-0.0012767446205559137,-0.0011480118437232321,-0.000995845883251791,-0.000495651715456426,-0.0005795442509943621,-0.0003808879351962926,-0.001422731063083068,-0.0021582196967242025,-0.0020819843429604654,-0.0020752561291304253,-0.0011255274313922902,-0.0015127987196681236,-0.002170431723124022,-0.001820821306585497,-0.0019382624094331977,-0.002608393177722896,-0.002495266631383889,-0.0021883642314453936,-0.0023449908423335652,-0.00216123015202622,-0.0036882804034352214,-0.0024715109917971805,-0.0023228417303254364,-0.0023192054993543495,-0.0016731320340153016,-0.0018042666195000974,-0.0005399338340846566,-0.0008083378653043856,0.0010832558717265384,4.386708483981823e-05,0.0010571985331072453,0.000945325387800142,0.0013318133447782308,0.002124139911112846,0.0016911082892213923,0.0014780897125036046,0.002955199176473229,0.00302138885640014,0.003820507887781228,0.0043174479857502725,0.004185054656333331,0.004462484397999941,0.004063712970679945,0.004894816651545991,0.004875060371651988,0.005802527738359221,0.004770578085286175,0.005118729554207144,0.0052222179322443845,0.004766497931271193,0.005194926895070713,0.004261773218074009,0.0036047942835415354,0.004360999262317806,0.0047899823829346865,0.0047198057870793415,0.00436374994895995,0.003732097904146737,0.0033963725196333497,0.0030708794737206706,0.0030739230480036116,0.00245659328337776,0.0023024543539919857,0.0030720114808165722,0.00300183947457541,0.0035333595449700632,0.0029594596377471925,0.001988389457460762,0.001335208741775399,0.0005335750038207072,0.000470915792612109,0.0003296169606035299,0.0011622549905457003,0.0011816182020531387
T=0.02,1.6462160780230315e-05,-0.0002807742040891521,-0.0005207815436403933,-0.0015290189950787527,-0.002667997929150708,-0.0031627830799946543,-0.004163848912604573,-0.005139656390954352,-0.005366905908934795,-0.006263372969243361,-0.007207775645838115,-0.007265266175595929,-0.007058937830575742,-0.006897407667902097,-0.007069705962243107,-0.00700976162712303,-0.007351961897635077,-0.007067217505559303,-0.005795891139916903,-0.005993741689558638,-0.005481458648094569,-0.004968390055478704,-0.004171117469845286,-0.003604611056898867,-0.0031154095690197193,-0.0033562623317417418,-0.002084975087913713,-0.0021337615959946855,-0.0018076777965464635,-0.0015108193705310848,-0.001685735609487606,-0.0015777976463063818,-0.001320225881455658,-0.0011607898756160833,-0.000598656949542493,-0.0006834251362953061,-0.00043278233893663607,-0.0015332465811925325,-0.0022447515191373313,-0.002164735717209716,-0.002143116090585619,-0.0012117000221984365,-0.0015649163378752262,-0.002236187703192656,-0.0019147510485018945,-0.0019755957115937714,-0.002715093980223332,-0.0025905473891455286,-0.002265022799616805,-0.0023738675585966203,-0.002279875765389413,-0.0037564776418795103,-0.002470809750566963,-0.002317530529763873,-0.00231596784564869,-0.0016712069846755648,-0.001889918706418674,-0.0005908965302963935,-0.0008701924552665924,0.0010357169687114332,-1.8925243738869685e-06,0.0009986298653501173,0.0008803009397057563,0.0012550593147900248,0.00208906284373451,0.0016270297338839557,0.0013915163217971612,0.0028821052285466935,0.0029539349040800596,0.003716466568345373,0.004213445090699423,0.00408573745981563,0.004404339783010786,0.004060307763180911,0.004890461559145063,0.004872318221914491,0.005781008695369337,0.004710224300176208,0.0050352238557479,0.0051338545281901515,0.004676986491802023,0.005077173446099781,0.004129910014365388,0.003483704489333536,0.004186766233560138,0.004650198917765734,0.004581221219170228,0.004224916725121954,0.0035889915217009348,0.003245171342914911,0.0029433423929460037,0.0029626457716063776,0.0023685702736310215,0.0021997484917713095,0.002986240489879467,0.0028951956847897723,0.003439838271400851,0.0028963284969363147,0.0019431765513640926,0.0012903335811272941,0.0004917362606600088,0.00046181929625300106,0.0003457448939994471,0.0011812102357236516,0.0011922044151254473
T=0.022,6.183699793779391e-06,-0.0003198015150934846,-0.00047720922903539073,-0.0014720231233185709,-0.002623824201168942,-0.0031273176103416038,-0.004154737554732617,-0.005165932765858532,-0.005403856640483636,-0.006366722730131004,-0.007321798545705189,-0.007363353104707287,-0.007137862091267813,-0.006990738531745144,-0.0071796539986101904,-0.00712685307327781,-0.0074594042909947615,-0.007219134508010346,-0.005956193497091771,-0.006140981290632333,-0.0056095428728829165,-0.005130811968641808,-0.004336434741900198,-0.0037439048054052947,-0.0032594317999650067,-0.003513222690403123,-0.0022438864005661046,-0.0022833894785843994,-0.0019248321204632496,-0.0016152694110857643,-0.0017749237390180606,-0.0016486344767436525,-0.0013762375637522007,-0.0012126813177433665,-0.0006314783780834463,-0.000691414997437844,-0.0004308002823249649,-0.0015518496946904728,-0.002297513802597638,-0.0022232691792376967,-0.0022211577633278394,-0.001280937826267877,-0.001592779979793317,-0.0022142953198893223,-0.0019155930454453614,-0.0019461523914602141,-0.00274861101620271,-0.0025885398708702357,-0.002231628322962252,-0.002382606172398375,-0.002290886553204187,-0.0037448868047957884,-0.0024402858544068555,-0.0022818324891881164,-0.0022714774552949723,-0.0016552881063015296,-0.00189617556151123,-0.0005899629085020467,-0.0008558500822016972,0.0011058885713606341,5.0425353567888576e-05,0.0009958161469613134,0.0008962414303833312,0.0012254504868809486,0.0020488832019946667,0.001623508014154933,0.0014003594267612358,0.002885515346057053,0.0029553115014458453,0.003719496022251022,0.004162617865407354,0.004044725495789578,0.004370438954430169,0.004060519785188781,0.004878053765478734,0.004859747923476372,0.005771290405305414,0.004676847448265293,0.0049899028003430445,0.005114923113100563,0.004647499168468019,0.005012028403996912,0.004107526570307327,0.0034679911012383308,0.004142935230642805,0.004610110137223579,0.004550563845952783,0.004190107867999271,0.003546325167617808,0.0032282543631931685,0.002946792185323676,0.0029643810504421967,0.0023573578009848713,0.0021760134569005596,0.002971265940891762,0.0028202916381174156,0.0033623660449321473,0.002828733698266438,0.001872845212172254,0.0012172336119137168,0.00040793941067732956,0.00037638349219429004,0.00027189980163974166,0.0011053954759540126,0.0011070394313188296
T=0.025,2.0787682332120143e-05,-0.00028023222157406427,-0.00044604613084592965,-0.0012614391344380202,-0.0024916882952242527,-0.002977508656509644,-0.004000876236543701,-0.005083092478215029,-0.005349364838642385,-0.006444586524644951,-0.0074231054767861454,-0.007445808274904417,-0.007221487140398525,-0.007109062929106126,-0.007340013930654224,-0.007282833183038975,-0.007632904545192395,-0.007486805783606731,-0.006235744157392676,-0.006415263594785183,-0.005876208356919772,-0.005386935188108655,-0.004663882534956535,-0.004076804336725636,-0.003659746082477981,-0.0038837026401731833,-0.002648345689484532,-0.0025700464758686204,-0.00220692459023923,-0.00186699285471637,-0.00199155908051432,-0.0018846928689387882,-0.00155300775231363,-0.0013744034833547344,-0.00080295695236668,-0.0008714807362797033,-0.0005599787657978775,-0.0016602438615963395,-0.0023312345979369887,-0.0022677262875156414,-0.0022045397808346224,-0.001236167448689077,-0.0015523019442584447,-0.0021527834993147164,-0.001868032449532027,-0.001866163874341256,-0.002687895523525408,-0.002507383284977066,-0.002160953273673023,-0.0023483234756533854,-0.0022498602667528804,-0.0037517048525198184,-0.002388593455700618,-0.0022155826915751,-0.00217700273112634,-0.0015673876376139269,-0.0018423801854994862,-0.000497927772978789,-0.0007531944040236859,0.0012217278546439417,0.00014160532018336774,0.0010799407901327196,0.001026689432688013,0.001262028728318524,0.0021051501242573224,0.0016986296184300011,0.0014900869195148465,0.0029815635153122673,0.003071256514752843,0.003755747199276056,0.004164512626319607,0.004063104294672829,0.004359514816535523,0.004071853444520064,0.004883994064720237,0.004832347974062963,0.005707387898781022,0.004616032315762924,0.00488847259506105,0.005061948545022606,0.004597162589656526,0.0049230274273387616,0.004073997554372356,0.0034475659022347987,0.004124812271822134,0.00460706818090492,0.0045493973816898275,0.004189630684080954,0.003544172411105689,0.0032043564955732892,0.0028886157433756143,0.00292189966046173,0.002335902387050437,0.0021504113945007997,0.002955067932543299,0.00278636417064136,0.0033399992031351005,0.0028207312637490807,0.0018833279955368213,0.001230440260598285,0.00038675076798084504,0.0003321558562395275,0.00022745521654213733,0.0010734737202346878,0.001079749816726513
T=0.029,3.0584276181357776e-05,-0.000220774397955296,-0.0003680426296545345,-0.0012058850004336005,-0.00225665726577696,-0.0028586097803050556,-0.003829330203808528,-0.004991765236019716,-0.005286752747842252,-0.006468539182702116,-0.007470992877700378,-0.007615234972874823,-0.007431354159200165,-0.007388805824367766,-0.007625293792677395,-0.007640407848129893,-0.008013573857958287,-0.007881515823669704,-0.006752999390149241,-0.0068969407009754485,-0.0064320413494597635,-0.005877573827398597,-0.005164152324534357,-0.004613884957217887,-0.004191823877274798,-0.004286626006042207,-0.003207196244713528,-0.002952805854279995,-0.002528153024472017,-0.0020542694166671093,-0.002105909782916551,-0.0020029708621525535,-0.0016614937459694563,-0.0014411882665904413,-0.0008097057762911368,-0.0009394855350965663,-0.0005554094739554102,-0.0016872017453456404,-0.0022410780573791787,-0.0020567410073978947,-0.0020138662070940273,-0.0010671000861628569,-0.0014509119132198685,-0.002003182474639046,-0.001761781584490833,-0.0017372197932524396,-0.0025598694278457304,-0.0024172617308051507,-0.002063774881053905,-0.002336325066809401,-0.0021886221106113025,-0.0037734125366772355,-0.0023641784959313,-0.002158170965677598,-0.002091081908129318,-0.0014579105508821888,-0.0017408452094890235,-0.0003822525108043036,-0.0006807543362037986,0.0013464724581765267,0.0002069644902801798,0.0011465640187579885,0.0011457895274884608,0.0013261299485569373,0.0022294118323151683,0.001768411722100609,0.001641803301497815,0.0030715024066130772,0.003187064723389233,0.0037920058377115665,0.004171714616428079,0.004069164394165226,0.004399428419965322,0.004073663931929581,0.0049427336016125345,0.0049100531664337,0.005744552515948303,0.004591105828550504,0.004852256655148682,0.005021798618843021,0.0045574419785243065,0.004822970703895061,0.004009372627707578,0.0033977855732541173,0.004000476579034784,0.004579999426563087,0.00451182506078693,0.004165633179096725,0.003514701879288575,0.0031775477921986424,0.002874894065929001,0.002897696915339589,0.0023209506529411924,0.002137579701615644,0.0029630004917502117,0.002699044351858263,0.0032262200930363257,0.0027321861855782864,0.00183663651909787,0.0011785131750878923,0.00030451740301175637,0.0001806337900591118,8.640954105841799e-05,0.0009143462350530689,0.0009149663752389187
T=0.03,1.7732797249130414e-05,-0.00022766515291892662,-0.0003720758629060665,-0.0011930095075257422,-0.0023848677263682795,-0.0026975141686225077,-0.003818434134537156,-0.00496548197684436,-0.005254830455430278,-0.00645185941507115,-0.007461314104856805,-0.00762095303636401,-0.007469215187345833,-0.007446271481694817,-0.007697075005920662,-0.007721813423123023,-0.008114051654775358,-0.007996216766371933,-0.006918929107931535,-0.007059043551887661,-0.006596826550817711,-0.006081603173633278,-0.005368619817316147,-0.004836898554166924,-0.004405201994488999,-0.0044664989406656905,-0.0034135498080308056,-0.003087308391542877,-0.0027103825263792734,-0.002201187201555935,-0.0022456517268667903,-0.0021358806773322447,-0.0017855492295771377,-0.0015796860112509566,-0.0009027959877299575,-0.0010553878724697502,-0.0006385133272951546,-0.0017978709618760784,-0.00228032849212583,-0.0020907378572463586,-0.0020337280820178927,-0.0010868880973469014,-0.0014645330907479142,-0.0019978890323820576,-0.0017705188661504315,-0.0017499834006290144,-0.0025991238219193217,-0.0024631097901198023,-0.0021038683356445643,-0.002401650152671525,-0.002235976460854126,-0.00383835095657715,-0.0024054074736184093,-0.002183311996873903,-0.0020990887274976522,-0.0014778581891975611,-0.0017717376457167843,-0.0004282803681504109,-0.0007355810397265098,0.0013108788499161755,0.00017426688005217725,0.0011235099053539806,0.0011169158371167947,0.001296614923653731,0.002234078013274945,0.0017641634620998057,0.0016229026909069229,0.0030692823870317985,0.0031923260787288755,0.003773859328897402,0.004127894248523638,0.004023304972266275,0.004388484114148899,0.00404586925501257,0.004928978922941708,0.004892572368978322,0.005712855971116056,0.0045713934960276755,0.004774655749593083,0.004950419605884842,0.004483962091298872,0.004739041269623575,0.003910230249877122,0.0033167264746995734,0.003907235706717993,0.004498627144107861,0.004434278723127072,0.004079269511308127,0.003403259025610179,0.0030936589133157013,0.002818518006387932,0.0028335606375829332,0.0022508001384119506,0.002049171768393172,0.0028749819603225975,0.0025862261252493058,0.003141177478634554,0.00266394979329159,0.0017733186629228597,0.0011051755572865853,0.0002357352224434692,0.00012379731658506262,1.4367721679411602e-05,0.0008438553425516197,0.0008537308127650894
T=0.032,4.2326719373246025e-05,-0.0001984670729131367,-0.000347088693619726,-0.0011309522878738686,-0.002259601213074197,-0.002712168263046839,-0.003525865448966702,-0.004876434154209343,-0.005208981128051455,-0.006376095568033988,-0.007373436767053524,-0.007596558938060692,-0.007497506030517372,-0.007487060358457863,-0.007768011441934039,-0.007803841442901449,-0.008215102968278135,-0.008167785496058068,-0.0071596472161786886,-0.007310155542814323,-0.006876297840990599,-0.00637292802039523,-0.005653165785687498,-0.005151103808606755,-0.004734048618366638,-0.004767777759683564,-0.0037235499195192113,-0.0032467827579119647,-0.002898863097645994,-0.00231323018545089,-0.00233710005461704,-0.0022305654566099026,-0.0018922154033273067,-0.0016755745897296189,-0.0009715134561935764,-0.0011824481080031648,-0.0007419484505581226,-0.0019423564530557356,-0.0023822520489304314,-0.0021209778299164875,-0.002043840368982124,-0.001083631218511694,-0.001459306151753549,-0.00198248673087945,-0.0017902119870693834,-0.0017534514954100427,-0.0026097434245283668,-0.0024563323602568203,-0.002089754627252167,-0.002415275448718495,-0.002230495591106913,-0.0038590223715132487,-0.0023281313978958922,-0.002141847734652993,-0.002082343228151375,-0.0014392935571105928,-0.0017460584910991847,-0.0003924584418142137,-0.0006909313118673818,0.001342298107317757,0.00020066384428786004,0.0011631848155741846,0.0011546856292673979,0.0012634432721413127,0.0022436677157065795,0.0017038338545075171,0.0015892003853984753,0.00303675362032653,0.0031723741066728107,0.003794262717173512,0.0041728951391473935,0.004024269902585114,0.004391910250807796,0.004029282451469353,0.004921259454481371,0.004878976241258825,0.005679504971565739,0.004529377157135753,0.004651399264252405,0.0047927000365663155,0.004362573202203205,0.00459226503030448,0.003767188172202392,0.003168149087300248,0.003758520664978264,0.0043625346660568064,0.004269976397806956,0.003925029435824902,0.0032532225966771865,0.0029279841467641596,0.0026735941971407864,0.0027008096658384583,0.0021387381895346096,0.001938419008693824,0.0027302983569429816,0.002442408465656185,0.003048088696898733,0.0026115961052389208,0.0017871014039511665,0.001101403665398017,0.00023410076908604062,6.114817073012146e-05,4.746946287567994e-06,0.0008547213464753877,0.0008916618219357739
T=0.035,5.5701964255964884e-05,-0.00015258647050072746,-0.0003317186696800803,-0.0011418615848990915,-0.002226009511839157,-0.0026170113663731395,-0.0035585521804496604,-0.004660181422259049,-0.005254635843176865,-0.006363737231260544,-0.007283202255205956,-0.00760545007861982,-0.007561718350884207,-0.007578710720167213,-0.007862986126821361,-0.007952504213686571,-0.00845913115906227,-0.008438754063822947,-0.00751838165758357,-0.007659907195357574,-0.007306711703043914,-0.006803179256025772,-0.006114714930870003,-0.005642176253395179,-0.005170466412314297,-0.0051584850878020234,-0.004162820112192129,-0.003560692363049871,-0.0033376352065905886,-0.002578017565717783,-0.0025995326079990316,-0.0024672891839991823,-0.002143504487354829,-0.0018747355496587237,-0.0011898497781827216,-0.0013782273684028578,-0.0008540598145736926,-0.002016803336883602,-0.002474169427245252,-0.0021392066338466104,-0.0020356457426613157,-0.0011291857972285384,-0.0014985909675204131,-0.002002712306094394,-0.0018808843899690978,-0.0017827728018004927,-0.0026409353823075928,-0.0025457096951878853,-0.002142267659233452,-0.0024231466814059258,-0.002254032405797536,-0.003874297906085961,-0.0022494912207193874,-0.0021198840030636715,-0.002124643688288353,-0.001432358836976141,-0.0017670282058078158,-0.0003837948680713546,-0.0007504803556845509,0.0012784009023392435,0.00019933867218040657,0.001188176120065513,0.0011124971489852344,0.0011747577609480424,0.002141074767571865,0.0015659266167307403,0.0014681617486824998,0.00295322608972316,0.0031400619581994013,0.0037787683131679413,0.004228628738212165,0.004030265596591691,0.004411785323767928,0.003936798271095944,0.004892239483127748,0.004803050569240332,0.005554772360714498,0.004395889933484021,0.0044059506760080495,0.0045647050720661105,0.004143984987592381,0.004353591300389612,0.0035337708353330543,0.002976785556167734,0.0035819856311049792,0.004199085658611445,0.004066939202402079,0.0037302076682831195,0.003084566074530464,0.002727089412203603,0.0025152365081723554,0.002528024283533642,0.0019601484429648845,0.0017452946603407995,0.0025405593481390106,0.0022559664843871535,0.0028960812662651193,0.0024227181715971973,0.001651263504574405,0.0009463718683358996,6.0822688306058927e-05,-0.00013103108270781235,-0.000147645066686317,0.0007568156458496125,0.0008154747973912127
T=0.036,4.690784829410887e-05,-0.0001588676960439938,-0.0003387089819836893,-0.0011436483777949283,-0.0022165762498928135,-0.0025799090020909706,-0.003489821275169357,-0.004835109530582675,-0.005021915298330895,-0.006385491844187517,-0.007270105030410012,-0.0076318452748354694,-0.007593102373269691,-0.007643963206356498,-0.007923051135413405,-0.008015552287609085,-0.00856467155057915,-0.008555864237855735,-0.007654458298819595,-0.007801880104042953,-0.007475893268882253,-0.006980458644428925,-0.00629712026153876,-0.005820266377555666,-0.005345453905786079,-0.005316138981024418,-0.004342979596457937,-0.003728735340938466,-0.0035224017536563,-0.002727832627452719,-0.0027262910866981665,-0.00261480260983438,-0.002287155201723052,-0.0020196323662619625,-0.0013182726512137924,-0.0014721666312297052,-0.0009557991757900218,-0.0021333327142424047,-0.002573266050400627,-0.0022338868002139602,-0.0021020037016265315,-0.0011714333024229436,-0.001565831373528086,-0.0020354385814194756,-0.0019321431798579396,-0.0018229889992313598,-0.0026681357841495308,-0.0025863908161465623,-0.002143609489596959,-0.0024552421315857846,-0.002302916737248207,-0.003942407138284894,-0.002304792303793309,-0.00219307620748293,-0.0021915819083842716,-0.001478945963654067,-0.0017912274461651951,-0.0003855373026740617,-0.0007499660750836423,0.0012820034281092465,0.0002007449341630383,0.0012026354364183557,0.001109228502512843,0.0011671174377367608,0.002166005939224625,0.0015106364237309493,0.001417777767441493,0.0028748303730374374,0.003068358179256991,0.003702635958198458,0.004145193090178655,0.003968898946605553,0.004373666636037189,0.003878999958337774,0.0048731718901392955,0.004784673117003704,0.005464414147144553,0.004263261596897694,0.004238238583210606,0.00437916712076344,0.003965590077035877,0.004158694305439877,0.003292310901738997,0.002754779579976465,0.003346503749098868,0.003978390789983152,0.0038219606902928603,0.0034873642353865962,0.002855244928765445,0.0025211141054459233,0.0022770162609443583,0.0022958583448859887,0.0017220325233325414,0.0015321698786828365,0.0023363775527739613,0.0020746141177773844,0.0027135627496898945,0.0023229299113660114,0.0015621563816786957,0.0008180858118257126,-7.894243781962045e-05,-0.00023782798500172992,-0.0002386180378267728,0.0006836255374674237,0.00076479989947291
T=0.04,-5.8045635729877335e-05,-0.00022410302092825172,-0.00041124025557137597,-0.001258668998080027,-0.0022377523583331943,-0.0025676368982362526,-0.003342709276942369,-0.004613304582168774,-0.00500643467677457,-0.006165370061506664,-0.007347938566950015,-0.007742593173846299,-0.007707425627922953,-0.007765916001607804,-0.008048483694775675,-0.00819841295514326,-0.00884923728026625,-0.008990161390659042,-0.008122995214141096,-0.008274667731009636,-0.008085828703166625,-0.007593766041114239,-0.006955901093249624,-0.006539125187316056,-0.006005453787890315,-0.005979228433538994,-0.004983026464330622,-0.004250953656912843,-0.004086876513774748,-0.0033234581351394327,-0.0033869315596991396,-0.003173792110192431,-0.002817438408761831,-0.0025950612121914633,-0.0017319381089054655,-0.0019191674621764588,-0.0013506387906564359,-0.0024826201752449952,-0.0028833254358552607,-0.002379424924558382,-0.00239622912063996,-0.0013953643248797373,-0.001773957545640061,-0.002189925924249354,-0.002099801015715866,-0.0019717206533055903,-0.002776534470686787,-0.0027342232625449515,-0.0022409237844353306,-0.002555206699745192,-0.002438867888656491,-0.004114381382909027,-0.002378004917279964,-0.0023107610708214253,-0.002324642798200829,-0.0016141104339441202,-0.0018922217931553785,-0.00044639486260801423,-0.0008097676805237231,0.0011703313712383384,9.213355413688222e-05,0.0011273252338984095,0.001016035699296548,0.0010298957561541379,0.002060871049429352,0.0013422893355301484,0.0013083553798604209,0.0027680477010902007,0.002929846596115234,0.0036386226687007534,0.003993450868634121,0.0038393501052699152,0.00425924737447093,0.0038175989613135485,0.004828875899183791,0.004749875790608356,0.0053971636701684225,0.004194522288503542,0.004129168433111451,0.004158838349939063,0.00373777813267467,0.003948168901293717,0.0031210739054603315,0.002598502735067998,0.0031933037557223412,0.003947399372577878,0.00375791547886027,0.0033474740317648868,0.0027279789421088218,0.0024146489960938317,0.0021848757463758003,0.0021604564616262505,0.0016046584728969103,0.0014184931962731582,0.0021916093788125457,0.0019409500906418416,0.0026143734036345894,0.002274293281653546,0.0015143020001827355,0.000720884004157971,-0.0001548948881959953,-0.0004261743812015147,-0.00041511480538230225,0.000538406077076384,0.0006405375636255099
