,T=0.01,T=0.02,T=0.022,T=0.025,T=0.029,T=0.03,T=0.032,T=0.035,T=0.036,T=0.04,T=0.042,T=0.044,T=0.045,T=0.046,T=0.048,T=0.05,T=0.055,T=0.06,T=0.065,T=0.067,T=0.07,T=0.075,T=0.08,T=0.085,T=0.09,T=0.095,T=0.1,T=0.11,T=0.12,T=0.13,T=0.133,T=0.14,T=0.15,T=0.16,T=0.17,T=0.18,T=0.19,T=0.2,T=0.22,T=0.24,T=0.25,T=0.26,T=0.28,T=0.29,T=0.3,T=0.32,T=0.34,T=0.35,T=0.36,T=0.38,T=0.4,T=0.42,T=0.44,T=0.45,T=0.46,T=0.48,T=0.5,T=0.55,T=0.6,T=0.65,T=0.667,T=0.7,T=0.75,T=0.8,T=0.85,T=0.9,T=0.95,T=1.0,T=1.1,T=1.2,T=1.3,T=1.4,T=1.5,T=1.6,T=1.7,T=1.8,T=1.9,T=2.0,T=2.2,T=2.4,T=2.5,T=2.6,T=2.8,T=3.0,T=3.2,T=3.4,T=3.5,T=3.6,T=3.8,T=4.0,T=4.2,T=4.4,T=4.6,T=4.8,T=5.0,T=5.5,T=6.0,T=6.5,T=7.0,T=7.5,T=8.0,T=8.5,T=9.0,T=9.5,T=10.0
T=0.01,0.0,0.0010641614705777414,0.001862243004437862,0.004280782786927004,0.0076957758046613855,0.009232040359644998,0.011970625790260737,0.016096879368658164,0.017396202125280827,0.021292389827381866,0.024549740676768773,0.026111632183963795,0.02678332619224427,0.027991449432020414,0.030433885491248303,0.03218504992304936,0.036886700726205056,0.0405855713540544,0.04224633932643676,0.04403864777200522,0.04495293818762134,0.04586402635521173,0.0471630686823182,0.04788582299482973,0.048021424469669484,0.048675412215197146,0.04646513945172796,0.04575948304779621,0.04562633202502371,0.04165676977899687,0.041892728872857436,0.039599901020864386,0.037795289426041025,0.03730741642079353,0.036489551303971544,0.03487976489032567,0.03255524735679414,0.032080861335625044,0.028672327335419755,0.027309916762033322,0.028574917240351227,0.02762889983215826,0.02567439553739741,0.025442356851053782,0.023359613053669865,0.022245357588665825,0.02266402187587408,0.022595229981344268,0.022261175049858604,0.023488980922329095,0.022729440886034846,0.025789656117535455,0.024786473567013998,0.024121561966415826,0.023430456186796195,0.022467359860475246,0.02255001681559285,0.025400899093798137,0.0287431667210184,0.027008462299933006,0.02738694425914367,0.02676708081511372,0.027625584663135444,0.03038053595427792,0.030693289614630824,0.0342180577141225,0.03748186851378237,0.03763948179699165,0.041153648401734876,0.040224884272407606,0.037858376145186605,0.036038695781116334,0.03855131066237487,0.038653376753076854,0.039246008780755105,0.04390859186072766,0.04222726633596715,0.043200150387856774,0.04029093825341812,0.03564127633164493,0.030962245421734688,0.02900810809663243,0.03259985017937813,0.032536114782571124,0.02907360275700553,0.027920109034047715,0.02914959996480069,0.03048235517015679,0.029561112498888247,0.02562477536222311,0.02469550454862926,0.02292983269019809,0.02158290773342691,0.023401537480184524,0.02337294422619676,0.02061733493906805,0.01943374366376834,0.016859653046858127,0.015108001194132163,0.013516079720689925,0.011114984605877721,0.009319246012198579,0.011453237226418342,0.014662318156646826,0.016382191033873363
T=0.02,1.7443593313781374e-05,0.0,0.0006882928082860623,0.0028419278120170783,0.005952580758044715,0.007286393840170316,0.009818074798848064,0.013724565715626235,0.015070421050014613,0.018893079621686976,0.022102714611771636,0.02370851839524108,0.024350062351626123,0.025541944302864723,0.0279324671148499,0.029742066992126177,0.034222730281704604,0.0380263349015351,0.03976149031439986,0.04157051746442715,0.04243599401586219,0.043473429373604267,0.0447041054677906,0.045592242361944264,0.04579615738232305,0.04637866665515877,0.04429291904125963,0.04364808594138225,0.043552519502151534,0.039830414453226555,0.04011179805690986,0.0380075089637645,0.03632146062166798,0.03598288970895983,0.03524466021150192,0.03393408581585969,0.03154936460309283,0.0310247462314645,0.02759576632974461,0.026402022179029913,0.02775954598174655,0.026879554731702882,0.024876931080720963,0.024630264101848244,0.022571331633562456,0.02152676562425864,0.02221073321444708,0.022112772380162335,0.021665044263259933,0.022845568316499136,0.022192388524928906,0.025108273155300204,0.024248009980144324,0.02356496731222806,0.022854198595226707,0.021956339062727936,0.02223966757754538,0.025121831859560382,0.028610723876841722,0.026804555862529285,0.027163179543521345,0.02652511266449135,0.027396865235965313,0.03019227055129479,0.030362313299672424,0.03392426895114011,0.03735301854702812,0.03760668401523512,0.04117917290048877,0.040224138843541875,0.037580532107386176,0.03575743159895766,0.038475892132905136,0.0387167294739431,0.03953096061076124,0.0442292005359078,0.04252986992515903,0.043468856246843664,0.04050025299103116,0.03565681933624933,0.03088572351322917,0.0288577559423469,0.03231986448665923,0.03217798078173493,0.02871054495757028,0.02760598944730283,0.028888895282269535,0.030238782557282417,0.02930615627108544,0.025441436414260683,0.024554680802185036,0.022815476621665096,0.021430115242192616,0.02316264009955468,0.023070876607337004,0.020440933995261583,0.019369586300779073,0.016826672392585684,0.015122741348738322,0.01356602944335066,0.011159175316212473,0.009498871597369129,0.011696736849720469,0.014891873846839541,0.01654886253335272
T=0.022,5.995434649284037e-05,3.941021371150617e-06,0.0,0.002018919303210277,0.005005297658803364,0.006303829457880586,0.008895732081066065,0.012974171477267475,0.014347533389653786,0.01833456031649918,0.02157294118809234,0.023123482478740784,0.023728449217903,0.02493267653222363,0.02729395290241595,0.029098876951028474,0.03353919807611842,0.03743463804332839,0.0391113359177788,0.04093171484153459,0.04180370092031,0.0428246593753889,0.04402164241086245,0.04498385481698972,0.045216764594490054,0.0457376925135587,0.04361325409924438,0.0431086895645812,0.04296134068002338,0.0392841100583158,0.03956915547915925,0.03757204041294213,0.03597529806394676,0.035576932331517826,0.034820378979518604,0.03359348889616404,0.031175549973690788,0.03073646953677504,0.027257804607933995,0.025960135266478848,0.02734972943226393,0.02650955779060977,0.024555330304489902,0.024279090721716357,0.022300531564861992,0.021277083549928005,0.022089673595498002,0.021982817974458117,0.02146425441592319,0.022690176593164153,0.022037013592243682,0.024915625924660477,0.02407089799221364,0.02337788687381336,0.022628746794411285,0.02176384189669889,0.022051977675640388,0.024902497470281355,0.028562821533251317,0.02671524010971128,0.02703341698510487,0.026392269366270867,0.027093740698499093,0.030013614191545957,0.030206534389420902,0.03367656190779291,0.03713701614913327,0.03748662443031771,0.04113727252282428,0.0400399521659763,0.037433690923653715,0.035496073279932906,0.0381816950993144,0.0385201458221307,0.03951748600514906,0.044161442706402675,0.04241042909168333,0.043392097636596016,0.04047765448063169,0.03555083015818336,0.0307797222343037,0.028783420339486204,0.03222678366854536,0.03197689563776541,0.028558685228366434,0.027555708798458263,0.028885303008291504,0.030227409338967868,0.029293567946565534,0.025411870338855575,0.02447055203225858,0.022699645327399237,0.02134154964206402,0.02307474114184555,0.022962082058715565,0.02031997124488901,0.019239464119377093,0.016602537025216923,0.014913184344900953,0.013261312075040525,0.010871476500586981,0.009296248135446885,0.011519418474802156,0.014694718602739085,0.016324299369469667
T=0.025,0.00010629979595242462,-0.0001576276181223039,-0.0002387001035658677,0.0,0.0031724249900603827,0.004339233690607089,0.006750163733621838,0.010842218637681934,0.012165355531608052,0.016357835955405804,0.019517941427958485,0.021008967664761867,0.021619649248573177,0.022827830577734253,0.025206084183991267,0.026990784253440286,0.031430395510775026,0.03538848019226324,0.03706949653734051,0.038917565685711406,0.03983569162153273,0.04089666353427454,0.04222832682168633,0.04303141979549901,0.04333561405809069,0.04384916869287492,0.04175595829222876,0.04144672101940192,0.041398643224591566,0.0378873637115138,0.0382132847008525,0.03646566730603066,0.03492635630539327,0.03457848397521985,0.03385269809635001,0.03277847840536654,0.03039972086933583,0.030002434514664347,0.026623640545521524,0.025390753838370552,0.026845511759741682,0.02606346613974966,0.02418748723575475,0.023923337624962886,0.02196826955046969,0.020987746420879874,0.021887446309768754,0.021893876235551023,0.021412400324950048,0.022570521663388694,0.021637361937275914,0.024512818304088326,0.02382765936864968,0.023195333450136663,0.02244692717689855,0.021720595629122482,0.022060310866452184,0.024641768043152778,0.02838959775277317,0.026598635307439285,0.02684842207192579,0.026153131829571706,0.026685481036474785,0.029907149094909026,0.029950692950055445,0.033393054462663115,0.03702436738518393,0.037431720686036105,0.04103424984041694,0.03974194738022518,0.03709526262773824,0.03502156711518791,0.03771168581093676,0.038070825110378625,0.0393444601636588,0.04402886997223652,0.042189092031922414,0.04311307824347087,0.04022686777823925,0.03521445637639081,0.030444902189324764,0.028521818004387245,0.03188651216844906,0.03161191548854106,0.028209242731230953,0.027218400779533726,0.028540630153660172,0.02985198036558154,0.028910152037339168,0.02508762713587974,0.024108696367611024,0.02235267834606897,0.02100133481693673,0.022721752158949247,0.022589888546333557,0.020006105061177594,0.018905289068456427,0.016226262440385112,0.01453997467976788,0.012843818884456867,0.010493855918690006,0.00897292737297227,0.011231009880837365,0.014355997360648631,0.015935972230392063
T=0.029,0.00012921905867156167,-0.0003748806222544822,-0.0004931655850527178,-1.8352756278045075e-05,0.0,0.001763460011079251,0.0038825384691291466,0.007683171606691673,0.008839601637578227,0.012902450519858152,0.015857717251240553,0.017424597756909417,0.01803889199809629,0.01920533122631485,0.021474540705282374,0.023286193724271452,0.027911500368690684,0.031783044623298735,0.03355402492665242,0.03534662394161352,0.0364390272456672,0.03763583208667384,0.039099972758101426,0.0399539194876151,0.040509156320682624,0.04126323667896226,0.03950038255906441,0.039148487580359964,0.0393037257375384,0.036298417836264085,0.036627005589129936,0.03520541895855538,0.03369032852775678,0.03337206936689073,0.032535769260696505,0.031659768682967944,0.029402790483732615,0.02933347222455904,0.025879149526607133,0.02482444738239333,0.026426708557152713,0.025748000412250956,0.02384695452164363,0.023444845807359904,0.02149934379178018,0.02066968707966384,0.021545989197519776,0.02165447259431678,0.02115430118246957,0.022298224815072158,0.021268426771671702,0.02421082046879255,0.023440135285296673,0.022761368639678894,0.022043300158675016,0.021478582227270695,0.021921287610238625,0.02459252251042133,0.028220115502413778,0.026286589240075653,0.02657481600002207,0.025710624114404765,0.02626968322649605,0.02999752270219132,0.029822930107098005,0.03331847798385158,0.036799917211951055,0.037323112345321104,0.04093716065746835,0.039372893968612245,0.03646542697373576,0.0343650109078781,0.037098090276811914,0.03762439165730961,0.039058461633147315,0.04374747134124841,0.04175700329626425,0.042593613650382486,0.039566126944587034,0.03445428798660986,0.02964015019809254,0.027749554364958365,0.03096612351128192,0.030656436460437992,0.027350391112669983,0.02650975014554615,0.02793428259079655,0.029214397295947023,0.028163625954130467,0.024320907528098915,0.02342248375904892,0.02184838584098586,0.020481044178029414,0.022070265188749688,0.02191110304094028,0.019304000166632165,0.01823120022978704,0.015560972989416513,0.013927376628914892,0.012159756571365957,0.009797925004317263,0.008334111539283685,0.010647243324767304,0.013752826587430933,0.015326759228194996
T=0.03,0.00012272367325402025,-0.0005073758904588226,-0.0006320790244604738,-0.0002598586193772498,0.00038617484570107626,0.0,0.0029189887555937507,0.006524960291520553,0.0075953103661781495,0.011602291616093678,0.014515629018167093,0.016015718946393837,0.01664497193480335,0.01779864625909205,0.020027265369426745,0.021868125678076913,0.026610893503372566,0.030439845255812142,0.032287236751615586,0.034061274839105225,0.035130382735622266,0.03645017310131215,0.03793989455941684,0.03879847139031605,0.039394304950496346,0.04016498517853733,0.03847463529696782,0.03815121514225491,0.038471656671250416,0.035522603141199205,0.03586795581207132,0.03450174241914764,0.03304728673727388,0.03283287787250141,0.03195413336706744,0.031265217947362214,0.02892148832405684,0.028829668773792335,0.025401482843551686,0.024489451210050178,0.026123477747380424,0.025479992830350854,0.02364308212277143,0.0232093167821176,0.021336272010759785,0.020510312056061807,0.02141811046937197,0.021544725900830966,0.021017557337006155,0.0221593439544314,0.021048857208405717,0.02397178446353979,0.02321408259404357,0.022491214528104424,0.021777593370718773,0.021313757297591922,0.021756772367001347,0.024431460717637164,0.02803903531193793,0.02609369050612571,0.02640810576439518,0.025611461318665093,0.026160193727809613,0.029917835171690093,0.029679970005094234,0.033164361574016935,0.03671237772851014,0.03722545845106341,0.04077814679076705,0.03920392924879021,0.03628575203836852,0.03425678550638981,0.03693932876749281,0.03747879735510333,0.03889810841794752,0.043561504474867604,0.041537407393853955,0.04233146686874465,0.03931404207601424,0.03403143091099565,0.02918240388446903,0.02729964800883318,0.03055720068711619,0.030231366368987093,0.026942869160883027,0.02615023751814067,0.02760682731407622,0.02887981130636505,0.027761118370818565,0.023914888465083353,0.023106505993066642,0.02159188241259424,0.020283040658999173,0.02185698945852626,0.021671544606107818,0.019070082619656713,0.018013472236588612,0.015372032950371324,0.013731985013518556,0.011954556663534085,0.009630686573980744,0.008167194973146216,0.010509692372896626,0.013597869064951194,0.015169804664450713
T=0.032,0.00011581043945353117,-0.0006816005285341638,-0.0007177237061432653,-0.0005057569100906045,-0.00016758342609085423,0.0002423836186114121,0.0,0.004348578094500742,0.005403394315996735,0.009188869972000009,0.011973033997838736,0.013535836772065208,0.014233669618278608,0.015300769068670205,0.017506330632253684,0.019236863491938237,0.024041306780838156,0.027998430532237294,0.02997936716215791,0.031738443151437125,0.032810869946481414,0.034152897943512533,0.035811943584766595,0.03661965392550973,0.037315451995768696,0.03818856655123188,0.03671485097493907,0.03630603241151055,0.03681853750426094,0.03419282978645394,0.03456995765733319,0.03324767704715226,0.03189586365089144,0.031809405813193206,0.03089734433134345,0.03039917920968918,0.028019785311498683,0.0280339524296804,0.024562516839872227,0.023704428716888836,0.025435233088633734,0.02490199082299554,0.023067286744478204,0.022582799129442267,0.020753310762070796,0.019925349141992323,0.02094201564996898,0.021100965478153797,0.02065284470120434,0.021765744502780602,0.02062250663490206,0.023673388032931952,0.022741839764065498,0.02211011475023553,0.021471206565888294,0.02100392613743936,0.021563581101142558,0.02415868145528949,0.02770446933863825,0.025760658174622742,0.026047054822598305,0.02521961580242533,0.02581572200190946,0.029747597477375078,0.029290879702926455,0.03280563581062763,0.036266654467920524,0.03680365686677677,0.040414351862667564,0.03872509380347399,0.035688793574669926,0.033706804818488305,0.036496052991766316,0.037007253165799774,0.03839547508862311,0.043086093023323314,0.041004053490901186,0.04178199265944982,0.038815793530440214,0.033414714299268386,0.02841806754854277,0.026390682638937995,0.029485423213445567,0.029307384046644454,0.026074183721290722,0.025345538615776972,0.02686600283503759,0.02816727763325016,0.027015136486139166,0.023145423862411776,0.02246323482775173,0.021016800999661463,0.019652171425180026,0.021095337919743894,0.020832360982083385,0.018232380179916133,0.017305883588239753,0.014685291958676851,0.013148200755063537,0.01131307672838824,0.009016842140691985,0.0076212060585691705,0.010087542130480727,0.013211402981848782,0.014828334276788929
T=0.035,8.476437287856145e-05,-0.000876567353962434,-0.0006814879545079327,-0.0003869924854616976,-0.00034161694036393103,-0.00012765443916808904,0.000358567796171485,0.0,0.002256748644324762,0.005870900471967175,0.00845725499217614,0.01019058668511311,0.010873510325889076,0.011819583399406955,0.014000823721042987,0.015776183565644895,0.02073112972987809,0.024804603752685395,0.026855615718539585,0.028562971834866238,0.029605490157996565,0.031127956646591303,0.032890116316663526,0.033638624041855344,0.03449877731318972,0.03559479929475959,0.03434451063808939,0.03400740243246951,0.03474153634525213,0.032406593972343224,0.03285043359150508,0.0315514899261855,0.03021307083411579,0.030299034987978472,0.029517807597832558,0.02931676058993596,0.026936513624793327,0.026890857830450532,0.02357804952947451,0.023073703794372118,0.02492573328393975,0.024543574813053227,0.022303875722726397,0.021728913069363087,0.020051830862214997,0.01916667069698094,0.02014929596550527,0.02047246450356348,0.0201100772055905,0.021298060285282267,0.02030781629855095,0.02340653944631364,0.02231614194005486,0.02161422370000145,0.020938822589579707,0.02038049307663219,0.021095900339313276,0.023872559975959533,0.02732318490746213,0.025348049626174204,0.025511552246243508,0.024678686121100638,0.025514707282085144,0.029401833116419543,0.02873244412269217,0.032349782634491,0.03581553370684753,0.03605165655295877,0.03986099534575461,0.03831515168726579,0.03508964699398227,0.03307447078399463,0.035835158239928,0.03653705718221713,0.03779307418773235,0.042406566478238726,0.04026972440042508,0.040955199830089516,0.037840976741850905,0.03217514236538191,0.027111389835891984,0.024965557248872956,0.027989574111497707,0.027931857914668626,0.024872722429545895,0.02410437422568703,0.025671016560046642,0.02695675345729685,0.025673954471881325,0.021872035322020204,0.021373753718451897,0.019961573203751314,0.01854821565979436,0.019818390592224455,0.019506963665453424,0.017080268355720244,0.016308066605816452,0.013903611989711875,0.01240249990415621,0.010473024794637615,0.008160216702364078,0.006851248263635412,0.009514945872835317,0.01268832988966838,0.014380516061661618
T=0.036,8.495074184730477e-05,-0.0008690574935956369,-0.0006328965846532267,-0.0003733376069811263,-0.0004755493620952,-0.00034888077470485363,9.140230404043594e-05,0.0009348839379634749,0.0,0.004802774488941138,0.007263430788258097,0.009005278917505674,0.009679881909947894,0.010660135366406049,0.012779630745923953,0.014607602791785293,0.01969810795359531,0.023744946387287136,0.025833080442993837,0.027511734464862932,0.02861274710062674,0.03020155763960547,0.03205810369671071,0.03272830176780032,0.03355010117156496,0.03458986994552577,0.03338584120101934,0.03312194285611638,0.03394646254209816,0.03179547741160147,0.03221478819056904,0.030956323975191793,0.02955544552180277,0.02970777545867214,0.028896518171393878,0.02881978899246976,0.026617845994355398,0.026561126233342926,0.023275943622731457,0.022797603808670384,0.024667175903032572,0.02426258160635622,0.022178782106950186,0.0216209603955369,0.019989451198529417,0.019053193388521718,0.020125054377739662,0.02049393586778396,0.020053143983544842,0.021129140710843448,0.02008421189386593,0.023260818484629735,0.02218352250054137,0.02153985707837457,0.020873275117412132,0.020283682826593027,0.020955596255935082,0.023732673504410853,0.027251596884859126,0.02527684185844661,0.025469588581481756,0.02459310307980083,0.025426092769982703,0.029313465558858328,0.02849693148975303,0.03213331031252836,0.03561426796949926,0.03584967993696982,0.03961205934977239,0.03798073792987656,0.034808264235913065,0.03285271359282122,0.03567008495174876,0.03645978729373775,0.0376010841453924,0.04207440263366844,0.03992598817410593,0.040543844110684464,0.03735112122736594,0.031612202437623416,0.026534617168878803,0.02435100405568259,0.027386741041128662,0.02734871262775402,0.024405255340143935,0.02362729127017093,0.025135874210198052,0.026406606880195194,0.025098516090348306,0.02131985997628735,0.020864450077460482,0.019521182651233135,0.018172061749879467,0.019481637215180276,0.019225059920633822,0.01684638848096655,0.016119478039103585,0.013757433779846262,0.012190428306383727,0.01021474888341585,0.007895550149522436,0.006591272500799667,0.009247213947507403,0.01244714991796557,0.014168416068686213
T=0.04,4.422788260511279e-05,-0.0010206158190987145,-0.0006254177057117014,-0.00016569565930127947,-0.0005427683293081476,-0.0004969627724977864,-0.00030129940432408397,0.00044794416379658077,0.0006803735337424585,0.0,0.0037303947174043626,0.005506620605199909,0.006179533089762013,0.0071312717126570235,0.009139655208347017,0.010813294046836227,0.015741446846721734,0.019892992708773302,0.021937041714567205,0.0235043205292823,0.024674670187685675,0.026304439182957558,0.028365474683361796,0.029204457804888867,0.030235199051453502,0.03160604417766776,0.030440819407508014,0.030194094043801845,0.03120382271918783,0.029448257670746644,0.030010456623614044,0.028483797200635527,0.027251266062396782,0.02765756941577963,0.026839531993210403,0.027070205654721523,0.024845496764746372,0.02495774145366214,0.02198510839391585,0.02161147649214054,0.023734209841210222,0.023259904816663138,0.021105068500825098,0.020402403795727112,0.018798411822148257,0.018131548777686603,0.019169491477039863,0.019556058512768426,0.019062365789218244,0.020090863633912777,0.019140227093231054,0.022491719852246066,0.02142716687268506,0.02093196507115403,0.020314900468715764,0.019725384316832344,0.020385723424071505,0.023107169297341534,0.02679316530701205,0.024632430856624407,0.02478040789741644,0.024013811127921135,0.02499018253494007,0.02900675339967485,0.028052458284671074,0.03145915626305383,0.0348210531374498,0.03504480278908509,0.03872945626373401,0.03716085100015875,0.03406316034850418,0.03200222068775486,0.03507502165506813,0.035767124847836056,0.036952192885807325,0.04134327394816995,0.03920075293234815,0.03956452110913578,0.03636822204002275,0.030426104000558656,0.025199833000496386,0.02276119075285473,0.025839619706411673,0.02607736341284215,0.023246340685757157,0.022346286706867585,0.02379740592783545,0.025020902230444196,0.0233585432888973,0.01967364047577437,0.019359326152397497,0.018104455965317935,0.016797761126440713,0.018204688856859316,0.017945248989440443,0.015757094723511243,0.015150803023757884,0.012977676699557869,0.011248339277275258,0.009272523167920568,0.006867208919673006,0.005553511101727237,0.008455201142866306,0.011734622074146503,0.01350846076059575
