,T=0.01,T=0.02,T=0.022,T=0.025,T=0.029,T=0.03,T=0.032,T=0.035,T=0.036,T=0.04,T=0.042,T=0.044,T=0.045,T=0.046,T=0.048,T=0.05,T=0.055,T=0.06,T=0.065,T=0.067,T=0.07,T=0.075,T=0.08,T=0.085,T=0.09,T=0.095,T=0.1,T=0.11,T=0.12,T=0.13,T=0.133,T=0.14,T=0.15,T=0.16,T=0.17,T=0.18,T=0.19,T=0.2,T=0.22,T=0.24,T=0.25,T=0.26,T=0.28,T=0.29,T=0.3,T=0.32,T=0.34,T=0.35,T=0.36,T=0.38,T=0.4,T=0.42,T=0.44,T=0.45,T=0.46,T=0.48,T=0.5,T=0.55,T=0.6,T=0.65,T=0.667,T=0.7,T=0.75,T=0.8,T=0.85,T=0.9,T=0.95,T=1.0,T=1.1,T=1.2,T=1.3,T=1.4,T=1.5,T=1.6,T=1.7,T=1.8,T=1.9,T=2.0,T=2.2,T=2.4,T=2.5,T=2.6,T=2.8,T=3.0,T=3.2,T=3.4,T=3.5,T=3.6,T=3.8,T=4.0,T=4.2,T=4.4,T=4.6,T=4.8,T=5.0,T=5.5,T=6.0,T=6.5,T=7.0,T=7.5,T=8.0,T=8.5,T=9.0,T=9.5,T=10.0
T=0.01,3.318762112115295e-05,3.326269622273972e-05,1.954300540285276e-06,-2.4417087915426282e-05,-4.0662180278622764e-05,-4.081178104507794e-05,-3.050850466605763e-05,-1.0226911357348488e-05,-1.322613677984887e-05,-1.6288935799779732e-05,-1.2001015168827702e-05,-2.2356363886311214e-05,-2.982137493693273e-05,-3.18279732147813e-05,-2.971035085365733e-05,-2.7870319488108033e-05,-4.5058604350146744e-05,-4.972731622133464e-05,-7.116339771026837e-05,-6.446368692672283e-05,-6.219255583276858e-05,-7.892024930576735e-05,-9.202945472176584e-05,-8.249289508266677e-05,-8.460075706944913e-05,-6.783582342106422e-05,-8.185364036684682e-05,-8.186805821216794e-05,-7.769822270762226e-05,-7.71493577787169e-05,-8.364528419404963e-05,-6.659589081925503e-05,-7.02980106993404e-05,-6.467761265314126e-05,-6.632746868478776e-05,-7.35919020976816e-05,-6.460863157995713e-05,-4.401221153676902e-05,-2.789212279562827e-05,-4.640203914832543e-05,-3.66354036777667e-05,-3.2658019846386624e-05,-3.953640354658867e-05,-4.6415970872781165e-05,-4.754561958803348e-05,-5.099515967453013e-05,-5.5272213370158966e-05,-5.569891062078306e-05,-6.169255731174731e-05,-5.2433575874749265e-05,-4.808958613631206e-05,-3.743735539903741e-05,-4.066745356726889e-05,-4.268299648804328e-05,-4.127278879516378e-05,-3.47226086897365e-05,-3.457610623794009e-05,-3.3243880198277925e-05,-3.206749792805254e-05,-2.7866483693799485e-05,-2.3701971870730725e-05,-2.3332962292606415e-05,-2.6147129359033012e-05,-2.6347659301476417e-06,-8.182952220968278e-06,-2.4463315836920635e-05,-3.935501026471925e-05,-4.9472453602304925e-05,-4.7709517123022226e-05,-6.401828992508253e-05,-4.914635174138242e-05,-5.234984255705067e-05,-6.980823744791198e-05,-5.679902329587292e-05,-4.7230846467513826e-05,-5.489885297503388e-05,-4.6915798513194335e-05,-2.929123944423821e-05,-3.689669315426761e-05,-3.302123521054802e-05,-3.392304512413077e-05,-3.000379159616751e-05,-3.934655332489962e-05,-3.781295268018088e-05,-3.24811126271441e-05,-3.2312608155205894e-05,-2.41345482677949e-05,-2.131274943505088e-05,-2.2839325995773957e-05,-1.8364843627708075e-05,-2.6588114780809847e-05,-2.9487419535277538e-05,-3.3035172236472126e-05,-3.548745187264239e-05,-2.8463323880082132e-05,-3.051888069681374e-05,-2.2167322479794627e-05,-1.8136172367410574e-05,-1.23667493518717e-05,-5.18927755698496e-06,1.4590777448825407e-06,4.419922323114259e-06,3.0921696773317104e-07,-3.7760730443102184e-06,-3.7240253386508326e-06
T=0.02,3.326269622273201e-05,0.0005615484081783042,0.0004959900481302133,0.0005719866035116803,0.0006511524844077235,0.0007254288087448828,0.0008190643052718915,0.0009216840314331753,0.0008992186587611051,0.0009466464747581073,0.0009781506966348658,0.0009366087825730471,0.0009235812989843329,0.00092241644305733,0.000931983319980896,0.0009207622550159612,0.0009398934323524293,0.0009231831366020723,0.0008448971459652357,0.0008448830375926371,0.0008523745084321292,0.0008099437045312759,0.0008145671241074644,0.0007771161577335683,0.000747935236152938,0.0007481035115629197,0.0006889132678615533,0.0006510761641537898,0.0006656246229676411,0.0006217472674086748,0.0006103599372194861,0.0005276305592185792,0.0005223347974416549,0.0004775951544703783,0.00044669014388795295,0.00033257757849409786,0.0003387136017333276,0.00039126208172811047,0.00041034777539250875,0.0002532721034258167,0.00024585447927734204,0.0002319225578850829,0.00022801629408356443,0.00017864996001803777,0.00016638738351222915,0.00019024024658031538,8.118122810229977e-05,9.295031932622567e-05,0.00012874006021436262,0.00013372369411860166,0.00011264964724717208,0.00019474396389658827,0.000163435393581721,0.00015277020618900648,0.0001413554088319531,0.00013277208623843788,3.092456696665199e-05,6.926211162569065e-05,6.081045901203882e-05,9.196305776780257e-05,0.00012049702516705633,8.601156381079113e-05,3.98446761938559e-05,2.5702547782957116e-05,7.142087831804558e-05,3.429047735161196e-05,-0.0001026815675220242,-0.0001690881656856042,-0.00017904976207289256,-0.00019172009708713026,-2.1790017554709036e-05,-6.492160185325644e-05,-0.00017633462190787976,-0.0001707685774683442,-0.0002342269569379988,-0.00028507529443399837,-0.0002814179013057584,-0.00024675159084888644,-0.000266049484964315,-0.00022436407256680818,-0.00017467396329945314,-0.00014579648859157877,-8.705679018204529e-05,-4.984877579385503e-05,-3.0262638429000945e-05,-2.3393803808805528e-05,-3.524540711593875e-05,-4.7587617130010435e-05,-5.997310684688213e-05,-0.00011165520945769103,-0.00015490728183034717,-0.0001536461886336405,-0.00011507954131094832,-8.379953397607647e-05,-6.678399250295733e-05,-9.8166234892152e-05,-9.060617701188541e-05,-7.926602982768776e-05,-8.593496346088125e-05,-9.462594977684887e-05,-7.744230407863821e-05,-0.0001223362296674914,-0.00012505578826124792,-9.880511875546031e-05,-6.555904129616007e-05
T=0.022,1.954300540272082e-06,0.0004959900481302088,0.0009544184580707815,0.0011069386552381728,0.0012476003998180064,0.001331456158985046,0.0013688120240503124,0.0013337375655301075,0.0012966083151429613,0.001237714208394796,0.001250209298699895,0.0012855356083382428,0.0012934690403873434,0.0012899120682895284,0.0013350727223101217,0.0013299619132642717,0.0014159773440034333,0.00132877395016808,0.0012941271082461934,0.0012789446497888507,0.0013027101105889556,0.0012834193836147565,0.0013251264568313733,0.0012350932673328321,0.0012086699767335637,0.001251216399107123,0.0011841706692715254,0.0010514468424452916,0.0011096008516624273,0.001066986713181221,0.0010543563734612272,0.0009220370559844587,0.0008658541600161162,0.0008539341454736213,0.0008181063158975701,0.0006779709243960972,0.0006925220967867358,0.0006858933854669733,0.0007243186143277619,0.0006301121914050124,0.000611371691598347,0.0005847367747702979,0.0005162036778269095,0.0004736437832167604,0.00040300049493245037,0.00043485003573154123,0.00021596481171569314,0.00024304799379541259,0.00034389040657366044,0.00031343010114509925,0.0002829388398530772,0.00038149217122136287,0.00032728665952164496,0.00030234268969875594,0.0003159918501743368,0.000301806277713904,0.00021745870872139092,0.00023079106530031926,0.00011994386257594694,0.00010214563329407193,0.0001273441716905817,7.322184123843661e-05,0.00012487400408715046,0.0001077095605202104,9.909716472725404e-05,0.00016953610897928967,4.3685625359686967e-05,-0.00010103520264438581,-0.00020335442691759884,-0.00011100476853849257,-3.9527877507182135e-05,-2.7794410615209506e-05,-7.57588217604086e-05,-0.00014201926377163044,-0.00029659204010682556,-0.00030373694469484,-0.0002810631190716839,-0.0002679684182485681,-0.0002826494674503025,-0.00020458892839935415,-0.0001862112070038012,-0.00017348962516109388,-8.001469604621197e-05,4.1179572022810995e-05,4.524309277339888e-05,-2.8965358504009737e-05,-5.7414069195864095e-05,-6.318531449128723e-05,-8.462322988260285e-05,-0.00010881185904753668,-9.16978510269857e-05,-6.040073787932196e-05,-5.1339688280928885e-05,-3.498309105496013e-05,-1.0084531114289469e-05,-9.438697080164236e-05,-0.00013664230470782958,-6.110706614260463e-05,-9.290711141029982e-05,-7.465188668831205e-05,-7.323353575929456e-05,-0.0001563169774713512,-0.0001428931492123264,-0.00010449019803117244,-6.584346026363248e-05
T=0.025,-2.441708791545515e-05,0.000571986603511661,0.0011069386552381582,0.0025228782688760405,0.0025226383400493266,0.002685781603931243,0.002841117771633727,0.0027376467090280917,0.0027234504071466633,0.002500264212714538,0.0025666113060505325,0.002711842213621041,0.002715321911684957,0.0026974150161672827,0.002725022854969749,0.0027513427537992395,0.0029067969118900415,0.002774437510436002,0.002738011236192041,0.002709404918285835,0.0027103713627415925,0.002685742597632253,0.0026386930453938915,0.0026521856722701194,0.002596323585432303,0.002674170959484085,0.0025984058323374904,0.002302468980623783,0.00227213997880615,0.002176101776179538,0.0021538095038356113,0.0018538345592151117,0.0017620381932412078,0.0017223116179984272,0.0016329149586858326,0.0014220545601405874,0.0013675282342095019,0.0013650052823619013,0.0013022228478214786,0.001168205479699426,0.0011532146795187762,0.0011091053368138106,0.0009185792989628634,0.0008036571468553482,0.0007145995861011827,0.0007860592192334555,0.00047435438341067107,0.0004194521708642546,0.0005151022507169543,0.000549222897298481,0.0006910976105447814,0.0007992185073274414,0.0006073784655151505,0.0005161908072206849,0.0005226232970394502,0.0004403668034016003,0.0003523482842669883,0.0004803357938850988,0.00031264029681504795,0.00013226760589384916,0.00016897222014467423,0.00014187097253577286,0.00030236271684822724,0.00019722516075540504,0.00023454531972334544,0.0003306150716448161,0.0001359890262011939,-8.041432676019843e-05,-0.00017440155819296548,2.480437604549835e-05,5.701423829525854e-05,9.00597572731001e-05,6.859743714780325e-05,1.2321723795530097e-05,-0.00026321535337851056,-0.00031425582842924317,-0.0002768536976210721,-0.00020104400906541774,-0.00019017277660368442,-0.00010946604561504817,-0.00012774703923561825,-0.00012399987708258797,4.8490299752690813e-05,0.00021789810141037335,0.00026077363445206776,0.00017063358378387585,0.0001773537859693903,0.00020483706507867173,0.00017018446025818967,8.963884874574054e-05,0.00015720004418575003,0.00018124047937881566,0.00017864159658572068,0.000178738016218848,0.0002075642171091978,-8.675356359597432e-06,-0.00010292666979166294,2.417764170946739e-05,-3.5552461568534635e-05,-5.2467524051755405e-05,-0.00010227390765696952,-0.00020192158657104473,-0.0001685524517030493,-8.893176421164272e-05,-2.122822119160954e-05
T=0.029,-4.066218027867673e-05,0.0006511524844076787,0.001247600399817969,0.0025226383400493045,0.00451331453155392,0.004291450344645898,0.004630704473677276,0.0046195074271904515,0.004662451156872189,0.00453152307174617,0.004720152458126727,0.004854250044035564,0.004824985900222752,0.004823188176634741,0.0049108347397108535,0.004916669140766995,0.00507383362059559,0.00500442083529194,0.004937803191980103,0.004912786953550861,0.004806079934131309,0.004770665110711777,0.004676084899892148,0.004605176238859038,0.004361151753403128,0.004316937918400532,0.004010627156418082,0.0037945051532021347,0.003655547969874228,0.0032717029570410706,0.003292645794009285,0.0028281763123147586,0.002704297789266394,0.002702169872254602,0.002650226389498393,0.0023885352758348665,0.002172382079526472,0.0019601418370826114,0.0019683185210653494,0.0017622270450800127,0.0017193028915868688,0.001587310293621525,0.001294909474201151,0.0012223441814026373,0.0011483959739735578,0.0010929442764455366,0.0008034910512450761,0.0007005325956508619,0.0008574892026475901,0.0008821930347426942,0.0010257235965623868,0.0010282345551437247,0.0008566769571048827,0.0007863685438313544,0.0007790171953153646,0.000691136392848216,0.0005760241065707766,0.0005679733022962999,0.00040915809767817297,0.00019548583300447745,0.00014222693320969904,0.00022447144946826178,0.0003810125483071549,7.834828390274002e-05,0.00024559378422885634,0.00032015366823382905,0.00033296429009870536,-4.0748226863224736e-05,-0.0001960027631546078,0.00014814089772077408,0.0002763913806602591,0.0002821075935174528,0.0003081745278239988,0.00012475553299235427,-0.00017441353555365408,-0.00021265844321774003,-0.00012020950485886538,1.3690441145529023e-05,0.0001566873830136369,0.00021048903111815106,0.0001574861780836862,0.00013994065056020593,0.00045352381884308644,0.0006521388292511289,0.0007022088584108195,0.0005415573739882402,0.0005064803386093663,0.0005590378530813086,0.0005617302968898041,0.0005039575201851867,0.0005573709273054209,0.0004635266662371722,0.0004710964464920811,0.0005543484175717272,0.0005804560606982136,0.0002873879111461833,5.56977805860102e-05,0.00022055532539351163,0.00010336994084921422,4.7431891246140156e-05,-1.4840176197347246e-06,-0.00013185420959394814,-7.706928626104279e-05,4.402715001401379e-06,5.568902278869524e-05
T=0.03,-4.081178104514165e-05,0.0007254288087448266,0.0013314561589849957,0.002685781603931212,0.004291450344645887,0.005395028337245015,0.00526574525946256,0.00538424911916728,0.005497184089419787,0.005390182758303653,0.005598777794215467,0.005807833150430864,0.005750372240873572,0.00574521211128292,0.005874085870009871,0.005838223197384832,0.005936183144468135,0.005901784681972963,0.005778635100548442,0.005755871172502395,0.005692206495797126,0.00555872019280384,0.005456564253487209,0.005371183650134491,0.005100205922548003,0.005061558425041767,0.004714087029907229,0.004481614979160805,0.0042029466477178255,0.0038206997868856724,0.003838045466714945,0.00336649143903927,0.003192691396592365,0.003105988955860382,0.003067016568135711,0.0026682207618153736,0.002514343246023921,0.0023485076847463587,0.0023418320530257915,0.0020031176211871412,0.001960346364495527,0.00180799746377101,0.0014618836969738588,0.0014047052498060634,0.0012716375416715765,0.0012061840813413914,0.0008813952025326636,0.0007673835125271461,0.0009498387919433933,0.0009700224027466975,0.0011862357117203245,0.0012057844923298892,0.0009893773406191367,0.0009622937102753925,0.0009507973264833067,0.0007887385186786781,0.0007126567381073682,0.0006755424522853479,0.0004996871758547859,0.0002652942298882118,0.0001842000157810479,0.0002133476941054899,0.0003621097825192007,0.00010501161240320667,0.0003033096060064097,0.00040138997985682083,0.0003565075479687923,-1.7374139827966697e-05,-0.00011904002150033908,0.00020535572099952205,0.0003152837868799946,0.00026243169384897755,0.00035786203220979665,0.000179172858804959,-7.818875961953191e-05,-9.97634895093909e-05,-8.554035236077598e-06,0.00017389878367394266,0.0002867284948280493,0.0004537830469519189,0.0004030848260917268,0.00037583459979206467,0.0006440406698284899,0.0008732155862338777,0.0009530634226387988,0.0007686575942823072,0.0007214709250119362,0.0007755005098258594,0.0008108682933144985,0.0007532422527768283,0.0007606943071065389,0.0006370084608507253,0.0005909033790879226,0.0006660096027325239,0.0007031797433374952,0.00037286626993810314,0.00012601302236637821,0.0002559435500050928,0.00014122730271691497,6.318838720246342e-05,-1.2406908892771595e-05,-0.00012280613195732245,-7.731287637815231e-05,1.7565881460700687e-05,7.118826535398803e-05
T=0.032,-3.050850466613999e-05,0.0008190643052718187,0.0013688120240502475,0.002841117771633678,0.004630704473677251,0.00526574525946253,0.007051730897933404,0.006734945894548289,0.006845118329301613,0.0068929586743418005,0.007187092781400974,0.007346018610458852,0.007208557411396646,0.007255997286379162,0.007389144182584913,0.007426909534645593,0.007500470374803074,0.0073779905066728435,0.007174246779077686,0.0071444347504400815,0.007074805725899331,0.006943747830532132,0.00671963921897237,0.006664126965357016,0.006321213338737339,0.006256491884522629,0.005754638753297761,0.005649157797512432,0.00523883369731785,0.004692063700667955,0.00469898773105568,0.004206139219908657,0.003931777567052575,0.0037396229594333567,0.0037269928941545323,0.003227501148440876,0.0030661783987287043,0.002862302354775652,0.002873575008966837,0.0025307067851225522,0.0024419726412217243,0.0022321868582232123,0.0018858786311659582,0.0018398770223269126,0.001655510124248505,0.0015691739435006965,0.0011644020065716128,0.0010637059960548012,0.0011876798240471967,0.0012271123020996615,0.0014652179577299375,0.0013930587084923002,0.0012870118031442768,0.0011611647099113488,0.0010654397389206172,0.0009382657037628537,0.0008118635910768769,0.0008489726254293366,0.0007130838913199662,0.0004126392172146374,0.0003207932674443072,0.000359815306931493,0.00042041558356451663,0.00011727482063505365,0.00044965167676752507,0.0005264332707895931,0.000560798084857681,0.0001618342871169473,3.225295317956388e-07,0.0003836174001470211,0.0005572229175231588,0.0004586358837984206,0.0004960836372292054,0.0003428075460853759,0.00011752543786728525,5.7304452470946357e-05,0.00015522828873210201,0.00034033763861031525,0.00039745866403761174,0.0005688354779093761,0.0006301654771094892,0.0007378981532892111,0.0011410725659707047,0.0012656436441691886,0.0013253514871089049,0.0010795717868186735,0.0009900189922847395,0.0010199549538308706,0.0010317612249846867,0.0009509406540133279,0.0008953317451869517,0.000779248156902562,0.0008294989047900475,0.000991979629588812,0.0010635927202410627,0.0007245686398809996,0.0003735503313539397,0.0005090774214529096,0.000333620752121795,0.00027543193046965795,0.0001897636235077595,3.439417251583968e-05,6.757280567972681e-05,0.00015952749807513877,0.00019631499673185748
T=0.035,-1.0226911357462695e-05,0.0009216840314330715,0.0013337375655300078,0.0027376467090280145,0.004619507427190392,0.005384249119167231,0.00673494589454826,0.009320362844518098,0.008699962169897737,0.008828025713860616,0.009256821486275556,0.009286345649926515,0.009140027423806275,0.009270359436323431,0.009388577615868518,0.009359531362783885,0.009370282572691421,0.009174768592093954,0.008960233442061509,0.00890107887775183,0.008857709235179905,0.00863922173547369,0.008366534015843474,0.008361548972425886,0.007909565090542681,0.007698369017954834,0.007040982056299748,0.0068811999153900695,0.006302416064778403,0.005711849501329111,0.005720107869440052,0.005202832368796279,0.004897174431388238,0.004594875356905096,0.004420570010177359,0.003821494165804238,0.003713597019593332,0.0036054481878030247,0.0035125803412172957,0.0029403906270390463,0.0027757795646405166,0.0024282996240193168,0.002334071666770427,0.0023566761775466014,0.002084948781036446,0.0020001918857480996,0.0016681049423649588,0.0014878262860191726,0.001569570716006173,0.0015255224140905542,0.0016506731285895356,0.0015431938721148586,0.001474418553930152,0.0013734539800413213,0.001286991047564698,0.0012451064855278724,0.0010450862684167799,0.0009431721046337784,0.0008808016771785,0.0005203895074107048,0.0005197250373424975,0.0005663397231795554,0.00044042519924592297,0.00021366233524932582,0.0005824696946246381,0.0005914737344891694,0.0006125020663019031,0.0004390021076660721,0.00017454048612153256,0.00040535737308006116,0.0006822062792013219,0.0005461936910545465,0.000691155957922567,0.0004087619672551546,0.0002858635557482228,0.00022186344940812442,0.0003160806337242145,0.0005285315643631914,0.0007440780096710756,0.0010077158097410066,0.0010478383604690669,0.0012304915620420832,0.0017076788826729378,0.001786333787035275,0.001764024397996859,0.0015503828393046138,0.0014415763179942503,0.0014816387978122318,0.0015451965826229737,0.0013920001343822072,0.001248582847411893,0.0011534227006467256,0.0012763303996077009,0.0015499807335424558,0.0016624718636984155,0.0012152289902347567,0.0007322275260650083,0.0006687780872406799,0.0004577599442798125,0.00043393363291977373,0.0003431093791007922,0.00011449115667489548,9.88047968041521e-05,0.0002040047349677008,0.00022365161882393313
T=0.036,-1.3226136779976805e-05,0.0008992186587609911,0.0012966083151428511,0.0027234504071465705,0.004662451156872127,0.0054971840894197325,0.006845118329301577,0.008699962169897728,0.01004383059666179,0.009422135270428336,0.009964236117993238,0.009978264500018092,0.009814990329410155,0.009903835436631696,0.010070184929841656,0.009969930342324712,0.009876963126298632,0.009719292451500206,0.00947255522583579,0.009407570745252627,0.009316306983260908,0.009076816073354234,0.00873028342598225,0.008790519649269917,0.008375273040967223,0.00824859120909274,0.00756132551073838,0.007321320422519552,0.006682625481059239,0.005999496606744357,0.006056689314597892,0.005498151269599864,0.005230225681356626,0.004858357069764696,0.004714204419614758,0.004059709813331773,0.0037884376460906623,0.003729138092093577,0.003644840384857152,0.0030701805798029947,0.0029217432952660448,0.00262185477886487,0.0023527131137152336,0.002345092836953397,0.002055350290384133,0.0020124856397807232,0.0015936860751271154,0.0013941877853042104,0.0015665487526491755,0.0016336302037584952,0.001819607252521163,0.0016428209659011086,0.0015317815684523443,0.001377606255202823,0.0012810565350841359,0.0012557710571656322,0.0010995991068118792,0.000998761641501696,0.000891400440107168,0.0005093314000417205,0.00047914292775719496,0.0005596101568136346,0.0004268461056907818,0.0002387292863179351,0.0006878375449283447,0.0006707451500314618,0.0006588365819165561,0.0004718718232754013,0.0002461350977408494,0.0005503275523407831,0.0007435417532767143,0.0005303687944790156,0.000666272068210351,0.0003224300210925742,0.000311111897660049,0.0003521415824676179,0.00043419232938137604,0.000689687708552351,0.0009389790789606193,0.0012247454024277302,0.001256978000431431,0.0014668714164378129,0.001935418386199292,0.0020073280765188018,0.0019091484109495585,0.0016927385405403922,0.0016345084470627796,0.0016907557876328042,0.0017448225503108254,0.0015783668371261127,0.0014114620853359532,0.0012714398801400215,0.0013249869055381562,0.0015553881038048356,0.0016224898916537903,0.0011412731710906147,0.0006334335373433898,0.0005774442160950866,0.00042214203479215773,0.0004129812845076899,0.0003272611649412037,0.00010296724782469428,0.00014310614533605934,0.0002452726668453605,0.000263268303212071
T=0.04,-1.6288935799939557e-05,0.0009466464747579532,0.0012377142083946496,0.002500264212714413,0.004531523071746071,0.0053901827583035565,0.006892958674341733,0.008828025713860585,0.009422135270428292,0.012330740123013328,0.011906370279360331,0.011901746250318878,0.011679389754497614,0.011806075501045716,0.0119640282003091,0.01193584973244123,0.011912446514656054,0.011658169072738572,0.011454807598989246,0.011415185646924828,0.011289819897693936,0.011069659535129504,0.010587610261263557,0.01049491930047379,0.009957838661463915,0.009591980671562804,0.008868302742765793,0.008692540067844881,0.007938804525166399,0.007047712554141353,0.007037218177437486,0.006685031730915432,0.006348122425278042,0.005769749929753691,0.005666161260061792,0.004860529482081079,0.004641056224836884,0.0045612083015756375,0.004305469987338937,0.0037261936698733712,0.003416743299797018,0.0030979853448047383,0.0029267722302553194,0.002994157192057734,0.0027106122609205454,0.002517636594562534,0.0021196387415404533,0.0019100888961708215,0.0021141361756951125,0.002234327714412816,0.0023795143347703227,0.002024413129809104,0.0018520961542838445,0.001571718659835102,0.001445365728765576,0.001441529911699738,0.001272210411632531,0.001231955226199751,0.0011438559078335677,0.0007799049895443457,0.0007706909937132585,0.0007278368723755266,0.0004219773699243316,0.00023636550323546176,0.0006389337375687425,0.0008205200255773798,0.0009726266998798563,0.0007924757059642024,0.0005848054965128927,0.0007153760777028929,0.0007780928195502383,0.0005867809628403385,0.0006564690056480045,0.0004286188362479502,0.00043556345943685616,0.0005111772706895731,0.0005287624666978756,0.000930414809836236,0.001190233708005909,0.0014626906119155061,0.0015537475655151365,0.001989176914885251,0.0024411681133547965,0.0023275547316420125,0.0022663224399289885,0.002115755841582354,0.0020619158042788853,0.0021316649214971153,0.0024064309848322706,0.0022107792290868987,0.0019531664634540435,0.0017813128510516163,0.0018527721825933716,0.002026043776814174,0.002114406560734271,0.00149590314507493,0.0008485943154272895,0.0006624727504684919,0.0006116880147135642,0.0005522728171989422,0.0004715710155789348,0.000216213281227971,0.0001844556987648921,0.00028748886200255714,0.00030938458706168724
