,T=0.01,T=0.02,T=0.022,T=0.025,T=0.029,T=0.03,T=0.032,T=0.035,T=0.036,T=0.04,T=0.042,T=0.044,T=0.045,T=0.046,T=0.048,T=0.05,T=0.055,T=0.06,T=0.065,T=0.067,T=0.07,T=0.075,T=0.08,T=0.085,T=0.09,T=0.095,T=0.1,T=0.11,T=0.12,T=0.13,T=0.133,T=0.14,T=0.15,T=0.16,T=0.17,T=0.18,T=0.19,T=0.2,T=0.22,T=0.24,T=0.25,T=0.26,T=0.28,T=0.29,T=0.3,T=0.32,T=0.34,T=0.35,T=0.36,T=0.38,T=0.4,T=0.42,T=0.44,T=0.45,T=0.46,T=0.48,T=0.5,T=0.55,T=0.6,T=0.65,T=0.667,T=0.7,T=0.75,T=0.8,T=0.85,T=0.9,T=0.95,T=1.0,T=1.1,T=1.2,T=1.3,T=1.4,T=1.5,T=1.6,T=1.7,T=1.8,T=1.9,T=2.0,T=2.2,T=2.4,T=2.5,T=2.6,T=2.8,T=3.0,T=3.2,T=3.4,T=3.5,T=3.6,T=3.8,T=4.0,T=4.2,T=4.4,T=4.6,T=4.8,T=5.0,T=5.5,T=6.0,T=6.5,T=7.0,T=7.5,T=8.0,T=8.5,T=9.0,T=9.5,T=10.0
T=0.01,1.0000000000000002,0.998474573345904,0.9975462839521019,0.995484386375174,0.9912087930778515,0.9895842061838112,0.9864488430762853,0.9804805909343496,0.9782943916885958,0.9711877077915444,0.9670043934363791,0.9627320406946493,0.9602006265194751,0.9572574928276854,0.9518775500644804,0.9475686933679691,0.9381286408872597,0.9281483629730494,0.9183781510239575,0.9147069790464535,0.9098868820332907,0.9031446149203449,0.8984020698516699,0.8945631965704525,0.8916218057964322,0.8895697159938714,0.887719024795382,0.8879429242365884,0.8863978901797267,0.8900108175775782,0.8897447043915386,0.8915202251056615,0.8905201805457457,0.8892343231112178,0.8874287504398444,0.8878545024063522,0.8878633100128972,0.8882194733774644,0.8868384777118642,0.8790101021446344,0.8713986898716185,0.8650065305209486,0.8563971388457595,0.8521483067788365,0.8481707286668567,0.8369705863959656,0.8250434548555873,0.8186711120478029,0.8115172445729006,0.7965196507630657,0.7847524188807308,0.7705436741495667,0.7556889828917455,0.7494470066995381,0.743918489607908,0.7307973865183773,0.7188413033819498,0.6820736263615952,0.6495003294980637,0.6215399019853474,0.6151576418022968,0.5982078080730376,0.5767767132286349,0.5549721033805781,0.5364926837100472,0.5173998129404783,0.49861397794772894,0.4812968052103625,0.4517496957965993,0.4322683178770329,0.415587314613941,0.4033951002225452,0.38188607118053386,0.36845773042750846,0.3571421843167237,0.34000142550701656,0.3310565815584423,0.3234961003661711,0.3165988076291815,0.31477388426219793,0.320359849193555,0.31626226887221726,0.3100941080262863,0.3072797596097838,0.30461592841705953,0.3004927670038985,0.2936184041670389,0.28918545042999266,0.27487266158635126,0.27610828249109254,0.2667599671877176,0.2635526893986187,0.25958523085168334,0.251020391386293,0.24296102354668875,0.2310214761672956,0.2215695616679064,0.20636124941186085,0.21045881954887055,0.19901909193815367,0.21114190012470238,0.21931308962259688,0.2075317582512184,0.19684125461647134,0.18990462541280256
T=0.02,0.998474573345904,0.9999999999999998,0.9996188945587491,0.998166042363736,0.9947061047556448,0.9934232827066726,0.9908567159354754,0.9853970154671507,0.9832635880481344,0.9765555853126444,0.9724340795676255,0.9683589816638726,0.9659395937481733,0.9631392382847673,0.9580690209175232,0.953813465742263,0.9447674124263781,0.9347914142154569,0.925088837615568,0.9213663284503864,0.9163965885641749,0.9093992657052454,0.9040478570596229,0.8996715748575933,0.8963231579538709,0.8939523307857113,0.8918306007806107,0.8912832715520262,0.8886607039536046,0.8911637339163553,0.8906156200026327,0.8915940456001406,0.8894623377423742,0.8875381094757807,0.8850258539023891,0.8846499064532665,0.8842756392206097,0.8845903397719309,0.8827391174099211,0.8743821530848664,0.8664212837297239,0.8597485314707889,0.8506180834903375,0.8462968544796526,0.8421883765401346,0.8304325737931515,0.8180639324388648,0.811612885471497,0.8043907632905362,0.7890851626172872,0.777295094538171,0.7630001127833396,0.7475828797007608,0.7412992331358871,0.7357559480021997,0.7224499325470292,0.7103313386664608,0.6735241628130852,0.6408576303799276,0.612963362125627,0.6065971566831349,0.5897069297795459,0.5682051921555283,0.5464719229037328,0.5281027197837458,0.5089165523115073,0.48987035765129733,0.47230386036319216,0.4426677997554114,0.4234990018603123,0.407392684760046,0.395482288810316,0.3735873025145478,0.3597368626470409,0.34817039472573735,0.33119102374786613,0.322613785345156,0.3155070217526395,0.3095699820182423,0.30844598410917373,0.3143205355974421,0.31064142871353356,0.3048336227439764,0.3021550685253463,0.2998206857157166,0.2958124458297934,0.2890628314110004,0.28469453127219035,0.27038846607766753,0.27193629236124667,0.26268789065593806,0.2595082643457255,0.25568783379559096,0.24741118788833433,0.23955792170169707,0.22776494885474638,0.21796058647419006,0.20243049799196675,0.20678373797250252,0.19519992936384226,0.20750325190442756,0.2163815573270424,0.20457367737226326,0.19398141357530882,0.18719367391093156
T=0.022,0.9975462839521019,0.9996188945587491,1.0,0.9990659901045551,0.9960569428496614,0.994901763457398,0.992426995501848,0.9869922658329073,0.9848917648508481,0.9783172698354498,0.974262890710716,0.9702928096309591,0.9679144119704466,0.9651660347144414,0.9602291247602328,0.9560484218496225,0.9470899427455093,0.9372459713519917,0.9277278321671539,0.9239799485010238,0.918949093179523,0.9121195757866598,0.9067361858997349,0.9021091547606431,0.8986140797963013,0.8962558586986396,0.8941066132911655,0.8931113294893277,0.8901825414352199,0.8923254056884866,0.8916598781724381,0.8922531337720538,0.8897135341696484,0.8876426937100372,0.8848812556772366,0.8840994588445801,0.8834366870150421,0.8834016500011237,0.8813415521350032,0.8727267412178776,0.8645081824893648,0.857582609612087,0.847880667921171,0.8432990525960564,0.8389550969449882,0.8267671203983435,0.8141486800253148,0.8075002542034047,0.8001547520208308,0.7846730680123226,0.7726675870965569,0.7582080535950345,0.7425750076978445,0.7362274824941368,0.7306554177817628,0.7172812178333595,0.7051185669997223,0.6683417168924783,0.6353661374116825,0.6074477389434246,0.6011754199732892,0.584403371860539,0.5629167987504126,0.5410719852085805,0.5226576654523628,0.5033624587621083,0.4841512103438714,0.4664383113459246,0.43674420310299245,0.4177616722272014,0.40183397168783125,0.3900593758684565,0.36819037118226083,0.35431268431758206,0.3432262665761672,0.32643433970339847,0.317972007295142,0.31096484202709895,0.305378401951163,0.30457165361787425,0.31062964899941503,0.30714741818238767,0.3014601256870266,0.2990465108543727,0.2969166983820077,0.29300402246101853,0.28628529666554425,0.2819890831367838,0.26772794287647733,0.2693777750963579,0.26042487146589594,0.2574817565916306,0.25402147145245246,0.24595281727263035,0.2382702612940652,0.2268659867348002,0.21719940946448163,0.2017730799416085,0.20658062228798832,0.19516892306246186,0.20722582253293942,0.21583135582911828,0.20409263611274367,0.19352581760890197,0.18677184745609432
T=0.025,0.995484386375174,0.998166042363736,0.9990659901045551,1.0,0.9980375989053264,0.9971381207437446,0.9950907280567531,0.9901585320353343,0.9882840838214598,0.9821471691759586,0.9783578916555979,0.9744699408519124,0.9721711903663055,0.9695816368779263,0.9648495878499752,0.960741436798913,0.9518513689331229,0.9421864925526523,0.932633360435809,0.9287553024068962,0.9236514672847627,0.9166952994332681,0.9111433113293438,0.9065694376430788,0.902948093903411,0.9002721131754188,0.8978159448623182,0.8957833100724676,0.8920774980771286,0.8932659839596067,0.8922999130725774,0.8922284953052121,0.8889383895729019,0.8862760106360132,0.8830159641870987,0.8815843110042485,0.8803396487617278,0.8797376850272872,0.8765705577114975,0.8672244856214885,0.8583851319090843,0.8509957847104358,0.8408123345671203,0.8360103530747969,0.8314424070365152,0.8186741727225949,0.8056922488057995,0.7987039745663876,0.7911293639194407,0.7754437197186878,0.7634746223664274,0.7488995668366148,0.732691688690153,0.7261446161008375,0.720414238828029,0.7067394096829022,0.6944442223658094,0.6577538089589411,0.6244628725385888,0.596290788761413,0.5900857160186611,0.5733005989753277,0.5516908145180006,0.5297391227115104,0.5116160619583069,0.4924623594559773,0.47308414888415695,0.4553804096058092,0.4259096363721805,0.4077836699191428,0.3922254976020594,0.38091878319126676,0.35925144192827246,0.3455046948959127,0.33458634362806405,0.3180491642237721,0.3099374056950724,0.30327806291517584,0.2981939818401239,0.2979896539801215,0.30439832277451145,0.30126296504790406,0.2957775140400619,0.29345356381805265,0.29144605719945277,0.2879187549467628,0.2814378588621786,0.27722965459298704,0.2631979071278939,0.265297941928373,0.25707856519089356,0.2543165752211907,0.25126216937093154,0.24348296663101518,0.2360593109329897,0.2251561652526404,0.21571557720491447,0.20034799923683727,0.20520910694389988,0.19388188953957652,0.20567610165281885,0.2136797693614244,0.20207142407322531,0.19144315364573214,0.18460142516491054
T=0.029,0.9912087930778515,0.9947061047556448,0.9960569428496614,0.9980375989053264,1.0,0.999760377682082,0.9984502544918306,0.9947659192604582,0.9933840562043689,0.9882475983201785,0.985070637363281,0.9816701182218884,0.9796262680948181,0.9773224458346065,0.9730286501649964,0.9691089400950459,0.9600317771811838,0.9505888653228489,0.9412064885196884,0.9373732520575424,0.9321816403593586,0.9246954019637077,0.9185818061576703,0.9136522215563955,0.9093744641756352,0.9056469271181767,0.9026605353989554,0.8989527232922638,0.8936048224437587,0.8927765478457919,0.8913491867380905,0.8901931594703146,0.8860024341333756,0.8824221137730387,0.8784430206024646,0.8761192018961103,0.8739169625386289,0.8724338822800332,0.8677394876426077,0.8568192910807497,0.8473935290209396,0.8395831596964829,0.829026853130346,0.8239902278087085,0.8191700386556604,0.8056628184325656,0.7922202884244977,0.7849244019055199,0.7771151954604928,0.7613161923990455,0.7491603069993453,0.734530602440237,0.717965907927264,0.711221181114802,0.7052170566071841,0.6908728426915061,0.6782542505765433,0.6411923738284094,0.6081189946130838,0.5797764319295765,0.5736453045958539,0.5569124636948374,0.5348029469547793,0.5122441862047757,0.4942770679440091,0.4751083766143202,0.455617156997746,0.4379675746927273,0.4085776205400522,0.3915906248676364,0.3766892632511687,0.3656630152340194,0.34381756254261686,0.33043419145631914,0.31987009548315815,0.3035934127452946,0.2961435785640311,0.2899996560363074,0.2853713042205895,0.2862278075813127,0.2930205013499427,0.290346798539174,0.2855592815286559,0.28363447009035236,0.2820820020828809,0.2781329306447767,0.2718956691799055,0.26779642079510824,0.25393671094359166,0.2568804734943299,0.2493525091195622,0.24681174368383876,0.24399737275941408,0.23660860613650805,0.22944530755769885,0.21970261923763762,0.21080056531589017,0.19568418175334887,0.20066441369887505,0.18980064220188744,0.20124916510218782,0.20795237762939014,0.19617960393367895,0.1856932571397919,0.17888142022001585
T=0.03,0.9895842061838112,0.9934232827066726,0.994901763457398,0.9971381207437446,0.999760377682082,1.0,0.9991136177024035,0.9957640296392792,0.9945008300390001,0.9896151175947269,0.9865667909896924,0.9832997616507264,0.9813462223950333,0.9791411034428532,0.9749366490531618,0.9710168522732052,0.9618471280992738,0.9524650160777636,0.9431236248825906,0.9392677556859254,0.9340348202412434,0.9264679030330393,0.9201782287075286,0.9151754797761681,0.9107241559883987,0.9067552501139972,0.9035619644186093,0.8993758220537502,0.8936708004995874,0.8923036325508432,0.8907593827871718,0.8892702469552558,0.8847757866815822,0.8809125192527192,0.8766968424696038,0.8740442992360226,0.8716598111677342,0.870071736463586,0.8648797751232895,0.8535806299079131,0.8439838541804792,0.8360285824132614,0.8251402455052389,0.8199928440573729,0.8150425796642446,0.8013412609022391,0.7878492224822374,0.7805241985112463,0.7727084983046765,0.7569169059409785,0.7446427959547769,0.7299790402255792,0.7133082266563231,0.7065178119733749,0.7004656627172108,0.6859917561217598,0.6732763993937726,0.6362452815165877,0.6032566232829093,0.574817643369561,0.5686367366554239,0.5517935407251507,0.5297048165890893,0.507040919510114,0.4891335211550817,0.46994921026970865,0.4504624303741539,0.4328142907239831,0.4033784483499731,0.3865791482500766,0.3717710112020067,0.3607255303041312,0.3387907941707001,0.32551919515240735,0.3149543287953719,0.29881223495371206,0.2915689147807551,0.2855458810918304,0.28125585468372716,0.2825958676634748,0.2895751023161012,0.2870351025115883,0.2823923012084354,0.28045258242127585,0.27889873940191384,0.2748378699696824,0.26857458488979585,0.26454188895184816,0.25078268262714976,0.25388482869158624,0.24629111061775413,0.24372616682195772,0.24098959578252535,0.23373740466069104,0.22670485803082008,0.21725851728187157,0.2083534166093452,0.19345104037145333,0.1984430039283889,0.18767104154261624,0.19901693544074872,0.20538635969315314,0.1935886702934577,0.1831188611159348,0.1762787751584184
T=0.032,0.9864488430762853,0.9908567159354754,0.992426995501848,0.9950907280567531,0.9984502544918306,0.9991136177024035,1.0,0.9978469887151926,0.9967893007881086,0.9923524816296526,0.9895438613129478,0.9864834452928175,0.9846701125059855,0.9826612242324979,0.9786889586181053,0.9749877276580514,0.9659238383034832,0.9565584051936351,0.9472522701593873,0.9434166004351682,0.9382432417469578,0.9306413769271022,0.9239084455928881,0.9187814986025669,0.9139190302503786,0.9093408017293816,0.9055889435604794,0.900323804752848,0.8937964668246685,0.891257587466029,0.8895133645267701,0.8876198139475631,0.8825948038861613,0.8781525416593274,0.8734616587212708,0.8702444238030651,0.8675158818287657,0.8655069861858969,0.8595290866398674,0.8472860805730004,0.8372197092301867,0.8287944969316717,0.8173183606066948,0.8120265749763429,0.8069706725134569,0.7930372655302412,0.7791925268749765,0.7716080657183711,0.7635500470820376,0.7475724907030599,0.7350447155574562,0.7200033834401388,0.7030637318932375,0.6961844722589887,0.6900561569708074,0.6753166564688033,0.6623349156128424,0.6250933820949243,0.5920423488171694,0.5635672750235619,0.5574872835942787,0.5406788641187555,0.5187441102316817,0.49600060286095726,0.47828938312897185,0.45917216189355653,0.4396513572944253,0.4218828356520409,0.3924119326217782,0.37597789423839867,0.3614262922779775,0.35041107853615777,0.3284943400181624,0.3156131733527985,0.30500234822206085,0.2891013525221486,0.2822604013399289,0.27652827718245093,0.27247044356027644,0.2745314405198011,0.28175437008485904,0.27960238519301955,0.2755164321123957,0.2736153662231256,0.27222276806395795,0.2682444273425873,0.2619704935833028,0.25800679723509,0.24452379828586643,0.24817925255018325,0.2400129400429413,0.23723003327819583,0.23462950558888174,0.22774128309027705,0.22103847019055592,0.21167313869461837,0.202318916866283,0.18709541053168194,0.19176698861073385,0.1812508118047212,0.19250843687361702,0.1987938563879049,0.1868318770696969,0.17627087435045422,0.1692677699821162
T=0.035,0.9804805909343496,0.9853970154671507,0.9869922658329073,0.9901585320353343,0.9947659192604582,0.9957640296392792,0.9978469887151926,1.0,0.9996197259764307,0.995842333794956,0.9933079942433003,0.9905183967375839,0.9889296833558496,0.9872083750036118,0.9834789361624657,0.9798767519211646,0.9709631136793649,0.9617516927096311,0.9525639336876587,0.9488373320242901,0.9439019117898441,0.9360115935526222,0.9288350372941543,0.9234388167932965,0.9178459856535964,0.9124796161729739,0.9081498688408784,0.9016267452381923,0.8941430497328812,0.8895921958360334,0.8874431712626382,0.8848325463256664,0.8790207208758769,0.8734042987164883,0.8680560575030485,0.8636026719489417,0.8597599006920661,0.8570619272334191,0.8499011936213519,0.8362142965173041,0.8256906617140455,0.8169159516381637,0.805225992020976,0.7995839031998735,0.7941590923594726,0.77984013458176,0.7656096856859933,0.7577139024542755,0.7492640456910376,0.7328617774074361,0.7199210020422803,0.7045297066400312,0.687466927104901,0.6807033298276687,0.6747160061727514,0.6597519440450798,0.6463808714409486,0.608411006004829,0.5752516260645982,0.546639730466996,0.5405042490349824,0.523494805019389,0.5014430917529312,0.47901791477347205,0.46194946596228875,0.442836139311285,0.423388262647342,0.4058535452570577,0.375826709346689,0.3596513795631746,0.3452777311990259,0.3345600975829844,0.31283430725071926,0.3003703946388366,0.2898288942749847,0.27476493097438587,0.2686990664464247,0.2635811478766291,0.26033394574580154,0.26354505974601883,0.27128584744988066,0.2698445454036083,0.266156833657881,0.26400928153481573,0.262666279580289,0.2587871927392452,0.25270020062347276,0.2488506205393467,0.2353819956616808,0.2393292200996597,0.23074683919310635,0.22815646157357358,0.22588310829117256,0.21934387496986446,0.21282157425604437,0.20315300146286897,0.19370099274731448,0.17799973936505611,0.18244659738382507,0.1721823361557646,0.18381296167628716,0.18952458814471443,0.17765591327073307,0.16685791336526268,0.15968661752036842
T=0.036,0.9782943916885958,0.9832635880481344,0.9848917648508481,0.9882840838214598,0.9933840562043689,0.9945008300390001,0.9967893007881086,0.9996197259764307,0.9999999999999998,0.9968813489963375,0.9944839569401702,0.9918720276764096,0.990381474530987,0.9887368877457898,0.9851328887280071,0.9815250517967029,0.9726799512254716,0.9635520946417564,0.9544068624271347,0.9507342753745903,0.9458204172063314,0.937757061518844,0.9303975055519711,0.9250121174861919,0.9193037091294822,0.9137592525476411,0.9092809663650824,0.9024428518669986,0.8945688497288218,0.8892962420019519,0.8869971175428063,0.8841455716317064,0.8780707215160604,0.8721613923267585,0.8664676248658005,0.8615499464343197,0.857213853859254,0.8542353298559207,0.8465233531299292,0.8322705529967309,0.8214440553063347,0.8124047611176439,0.8004776773177743,0.7946690841637258,0.7890990815208693,0.7746264114149919,0.7602077996901154,0.7521778151570692,0.7435940481141025,0.7271358468022953,0.7141359864637806,0.6985787683628338,0.6814131174689952,0.6745889727862002,0.6685818001207342,0.653581307395777,0.6401265668435069,0.6019826017116876,0.5687033526713385,0.5399657643219177,0.5337973433754825,0.5168191752822328,0.4948327928282808,0.4723999779122181,0.4555206928066937,0.436623097595556,0.41726898531437484,0.39985789898890267,0.36979319786814685,0.3539181287569601,0.33965587581991913,0.32895353295446594,0.3071003637631133,0.2946818270207873,0.28425586693422816,0.26942499243289203,0.2636156585474325,0.25873887749847396,0.2559349931929779,0.2595568431610206,0.2675025222956272,0.26629613058641816,0.2627264019532072,0.2605384806002186,0.2591994845858116,0.2552486332161476,0.2492313789210831,0.24539570964500862,0.23201057117479196,0.23588198563314028,0.2272427861837406,0.22458773799391352,0.22235110049114493,0.21583759078242534,0.2093022378596195,0.1996867915842417,0.19023619515353019,0.17460710857689182,0.1790825006167376,0.16905157007346466,0.1806124039948855,0.1861146933959703,0.17432730107351402,0.16341576692734755,0.1560673703259825
T=0.04,0.9711877077915444,0.9765555853126444,0.9783172698354498,0.9821471691759586,0.9882475983201785,0.9896151175947269,0.9923524816296526,0.995842333794956,0.9968813489963375,1.0000000000000002,0.9986589336473154,0.9964480097874354,0.9951341834769898,0.9936463392730166,0.9904959353598589,0.9874428429026775,0.9796680671159309,0.9710522495132182,0.9621533774837392,0.9587058050290965,0.9539287672996972,0.9456930065079703,0.9378497430232042,0.9321593968313856,0.9255876718562007,0.9193027692016045,0.9143227633317309,0.9059455197098545,0.8967550626915741,0.8899975747335274,0.8872878575078702,0.8836530129203083,0.8761657818765658,0.8689978162284024,0.8618198565526963,0.8555942927744049,0.850160920573024,0.8459743004531641,0.8363055397173597,0.8203078067895501,0.8089568162921711,0.7995643226027263,0.7867117367627592,0.7805327067823721,0.774577916625239,0.7590295531139191,0.7440287712724688,0.7358771584545747,0.7270662374061039,0.710350379940365,0.6971080252890041,0.6812513309552294,0.663533116221488,0.6564184497643367,0.6502180285616593,0.6350181779696572,0.6212512588958624,0.5825831125401583,0.5484214964769588,0.5198089838827692,0.5136946735328807,0.49641449657445746,0.47414570409321155,0.4516834839930402,0.43535263309616706,0.4169004944464284,0.39747091874715174,0.38017839560377875,0.3505312104819962,0.3349049597120023,0.32105506292143754,0.310404788430608,0.28820357634954674,0.27575497846317615,0.26449902007115594,0.2500973339610541,0.24469710886704923,0.24052864279754838,0.2381098042023998,0.24313189957965647,0.25155467961919026,0.2510824040796335,0.2483274070676989,0.2460342199312398,0.2448433653947429,0.2411443039338566,0.23553387161111947,0.23221588808762977,0.2194146271483846,0.22361047707436263,0.21541870536465668,0.21255883785961296,0.21051977132925864,0.20421068057332287,0.19795590867328564,0.18787886720543756,0.17868932394510542,0.16333705052815697,0.16788377854194653,0.15838419185957445,0.169906895192017,0.17429045604440596,0.1621488309061163,0.1510401014857141,0.14352781028567274
